VBELN,POSNR,LFSTA,FKSTA,GBSTA,ABSTA,LFGSA,WBSTA
0001001760,000010,B,A,B,,C,A
0001001760,000020,B,C,B,,A,A
0001001760,000030,B,B,B,,C,C
0001001760,000040,B,B,B,,B,A
0001001760,000050,C,B,A,,B,B
0001001761,000010,B,B,B,,B,A
0001001761,000020,C,B,A,,A,C
0001001761,000030,C,A,A,,B,C
0001001761,000040,C,C,A,,A,B
0001001761,000050,B,B,C,,A,A
0001001762,000010,A,A,B,,C,A
0001001762,000020,B,B,B,,B,C
0001001762,000030,B,B,C,,A,C
0001001762,000040,A,C,A,,B,C
0001001762,000050,B,B,B,,A,A
0001001762,000060,A,C,B,,A,A
0001001762,000070,B,C,A,,B,C
0001001762,000080,A,B,A,,A,A
0001001763,000010,C,A,C,,A,A
0001001763,000020,A,B,A,,A,B
0001001763,000030,B,B,C,,B,B
0001001763,000040,A,B,C,,B,A
0001001763,000050,C,B,C,,B,C
0001001764,000010,B,B,C,,A,C
0001001764,000020,C,B,B,,B,A
0001001764,000030,B,B,B,,B,A
0001001764,000040,A,B,A,,B,A
0001001764,000050,A,B,C,,B,B
0001001765,000010,C,C,C,,B,A
0001001765,000020,B,B,C,,B,A
0001001766,000010,B,C,B,,C,A
0001001766,000020,A,C,C,,B,B
0001001766,000030,C,B,C,,B,C
0001001767,000010,A,C,B,,A,B
0001001767,000020,B,B,A,,B,B
0001001767,000030,C,C,C,,A,A
0001001767,000040,A,B,A,,B,A
0001001767,000050,C,B,C,,B,B
0001001768,000010,B,B,A,,C,C
0001001768,000020,A,B,C,,B,A
0001001768,000030,C,A,B,,B,A
0001001768,000040,B,C,A,,A,A
0001001768,000050,A,A,A,,B,A
0001001768,000060,A,B,C,,B,A
0001001769,000010,A,C,A,,B,A
0001001770,000010,B,B,A,,A,C
0001001770,000020,B,B,B,,B,C
0001001770,000030,B,B,A,,C,C
0001001770,000040,B,B,B,,B,B
0001001770,000050,A,B,A,,C,B
0001001770,000060,B,B,A,,B,B
0001001770,000070,B,B,B,,A,B
0001001770,000080,C,C,A,,B,B
0001001771,000010,B,A,A,,B,C
0001001771,000020,C,A,A,,A,B
0001001771,000030,A,C,C,,C,B
0001001771,000040,C,B,B,,C,B
0001001771,000050,B,C,A,,B,B
0001001771,000060,C,A,B,,B,B
0001001771,000070,C,C,B,,B,C
0001001771,000080,A,A,A,,C,B
0001001772,000010,A,C,C,,B,B
0001001772,000020,B,C,B,,B,A
0001001772,000030,B,C,B,,B,B
0001001773,000010,A,A,A,,B,C
0001001773,000020,A,B,C,,A,A
0001001773,000030,C,A,B,,A,B
0001001773,000040,B,B,A,,B,B
0001001773,000050,A,B,A,,C,A
0001001773,000060,C,C,A,,A,C
0001001773,000070,C,C,A,,A,C
0001001773,000080,B,B,A,,C,B
0001001773,000090,A,B,C,,B,C
0001001773,000100,B,C,A,,B,B
0001001773,000110,A,A,B,,A,C
0001001773,000120,B,A,C,,C,B
0001001773,000130,B,B,C,,B,B
0001001774,000010,A,C,A,,B,B
0001001775,000010,B,B,A,,C,A
0001001775,000020,A,B,A,,B,B
0001001775,000030,C,A,A,,B,C
0001001775,000040,B,B,A,,C,C
0001001775,000050,A,B,B,,C,B
0001001775,000060,B,A,B,,B,A
0001001775,000070,B,B,B,,C,B
0001001775,000080,B,B,A,,B,C
0001001775,000090,A,C,C,,B,B
0001001775,000100,A,B,B,,C,C
0001001776,000010,B,A,C,,A,B
0001001776,000020,C,B,A,,A,C
0001001776,000030,B,C,B,,C,A
0001001777,000010,A,C,C,,C,C
0001001778,000010,C,C,B,,A,C
0001001778,000020,A,B,A,,A,A
0001001778,000030,B,B,B,,C,A
0001001779,000010,A,B,C,,B,B
0001001779,000020,A,A,A,,B,C
0001001779,000030,C,B,A,,B,A
0001001779,000040,B,B,B,,B,C
0001001779,000050,B,A,C,,A,B
0001001779,000060,A,B,A,,B,C
0001001780,000010,B,C,A,,A,B
0001001780,000020,A,B,A,,B,B
0001001781,000010,B,C,C,,C,B
0001001781,000020,B,B,A,,A,B
0001001781,000030,B,A,B,,C,A
0001001782,000010,B,A,C,,B,B
0001001782,000020,C,A,A,,C,B
0001001782,000030,C,B,C,,B,C
0001001782,000040,C,C,C,,B,C
0001001783,000010,C,B,B,,A,B
0001001783,000020,A,C,B,,A,A
0001001783,000030,B,C,B,,C,B
0001001784,000010,A,A,B,,A,A
0001001784,000020,C,B,B,,B,A
0001001784,000030,A,C,B,,A,A
0001001784,000040,B,C,C,,B,A
0001001785,000010,B,B,C,,C,A
0001001785,000020,C,A,B,,C,A
0001001785,000030,B,B,A,,C,A
0001001785,000040,A,A,A,,B,B
0001001786,000010,B,B,A,,C,B
0001001786,000020,B,B,B,,B,B
0001001786,000030,B,C,B,,C,B
0001001786,000040,B,A,B,,B,B
0001001786,000050,B,B,B,,B,A
0001001786,000060,A,B,C,,B,C
0001001786,000070,B,C,B,,A,B
0001001787,000010,A,A,B,,A,A
0001001787,000020,B,C,C,,B,A
0001001787,000030,C,A,B,,B,B
0001001787,000040,B,C,A,,B,B
0001001788,000010,C,C,C,,B,A
0001001789,000010,C,C,A,,B,A
0001001790,000010,A,B,C,,C,B
0001001790,000020,B,C,A,,A,A
0001001790,000030,B,C,B,,C,A
0001001790,000040,A,C,A,,A,A
0001001791,000010,B,B,B,,B,A
0001001791,000020,A,B,A,,B,B
0001001791,000030,B,B,B,,A,A
0001001791,000040,B,B,A,,A,C
0001001792,000010,B,B,A,,A,A
0001001792,000020,A,C,A,,A,B
0001001792,000030,A,B,C,,B,A
0001001792,000040,B,B,A,,C,A
0001001792,000050,A,C,B,,B,C
0001001793,000010,A,B,A,,B,C
0001001793,000020,C,B,A,,A,B
0001001793,000030,C,A,B,,C,B
0001001794,000010,A,B,C,,B,A
0001001794,000020,C,C,A,,B,B
0001001794,000030,A,A,A,,B,B
0001001795,000010,B,A,A,,B,C
0001001795,000020,C,B,B,,B,C
0001001795,000030,B,C,B,,B,B
0001001795,000040,A,B,C,,C,A
0001001795,000050,B,C,A,,B,C
0001001795,000060,B,B,A,,B,B
0001001795,000070,B,B,A,,B,B
0001001795,000080,A,A,A,,B,A
0001001795,000090,C,C,A,,B,C
0001001795,000100,B,B,B,,A,B
0001001796,000010,A,B,A,,A,B
0001001796,000020,A,C,A,,B,C
0001001796,000030,B,A,A,,B,A
0001001796,000040,B,A,A,,B,A
0001001797,000010,C,B,B,,A,A
0001001797,000020,B,B,B,,B,B
0001001797,000030,B,A,B,,B,A
0001001797,000040,C,C,A,,B,B
0001001798,000010,B,B,C,,C,C
0001001798,000020,B,B,A,,B,C
0001001798,000030,B,B,B,,A,A
0001001798,000040,C,B,B,,A,A
0001001799,000010,B,A,B,,A,C
0001001799,000020,B,C,A,,A,B
0001001799,000030,B,C,B,,A,C
0001001799,000040,A,B,B,,B,B
0001001800,000010,B,C,A,,C,A
0001001800,000020,B,C,C,,A,A
0001001800,000030,C,C,A,,A,A
0001001800,000040,C,A,B,,B,A
0001001801,000010,B,C,B,,B,B
0001001801,000020,B,C,A,,C,A
0001001802,000010,B,B,B,,B,B
0001001802,000020,B,B,A,,A,C
0001001802,000030,A,B,C,,B,B
0001001802,000040,C,C,A,,B,C
0001001803,000010,C,B,A,,B,C
0001001804,000010,A,A,C,,A,A
0001001804,000020,A,C,B,,B,B
0001001804,000030,C,B,C,,A,B
0001001804,000040,A,A,C,,B,A
0001001804,000050,A,B,B,,C,A
0001001804,000060,B,B,B,,B,A
0001001805,000010,A,B,C,,A,C
0001001805,000020,A,C,B,,A,A
0001001805,000030,B,A,A,,A,A
0001001806,000010,B,B,A,,C,C
0001001806,000020,C,B,C,,A,B
0001001806,000030,A,C,B,,B,A
0001001806,000040,A,A,A,,C,B
0001001806,000050,A,A,A,,C,B
0001001807,000010,B,B,C,,C,A
0001001807,000020,A,B,B,,B,A
0001001807,000030,B,B,A,,A,B
0001001807,000040,A,B,C,,B,B
0001001808,000010,C,B,A,,C,A
0001001808,000020,B,C,C,,B,A
0001001808,000030,C,B,C,,B,C
0001001808,000040,B,B,A,,C,A
0001001808,000050,C,A,B,,B,B
0001001809,000010,B,A,C,,A,C
0001001809,000020,A,C,B,,A,A
0001001810,000010,B,B,A,,B,B
0001001810,000020,B,C,C,,B,C
0001001810,000030,A,A,B,,B,B
0001001810,000040,B,C,A,,A,A
0001001810,000050,B,A,B,,B,A
0001001811,000010,A,B,A,,B,B
0001001811,000020,A,C,C,,B,A
0001001811,000030,B,C,A,,C,A
0001001811,000040,B,B,B,,B,C
0001001811,000050,B,B,A,,A,C
0001001811,000060,B,B,A,,A,B
0001001812,000010,A,A,A,,B,B
0001001812,000020,C,A,A,,C,B
0001001813,000010,B,B,B,,A,B
0001001813,000020,B,B,B,,B,B
0001001813,000030,A,C,C,,B,A
0001001813,000040,B,B,B,,A,B
0001001813,000050,A,B,B,,A,B
0001001814,000010,B,A,A,,C,A
0001001814,000020,B,B,A,,B,C
0001001814,000030,B,C,C,,C,A
0001001815,000010,C,B,C,,C,A
0001001815,000020,B,A,A,,C,B
0001001815,000030,C,B,A,,C,C
0001001816,000010,A,B,B,,B,A
0001001816,000020,C,B,A,,A,B
0001001816,000030,A,C,B,,B,C
0001001816,000040,A,C,A,,B,A
0001001816,000050,B,B,A,,B,A
0001001816,000060,C,B,C,,A,A
0001001817,000010,A,B,C,,B,B
0001001817,000020,A,C,A,,B,B
0001001817,000030,A,A,A,,B,C
0001001817,000040,A,B,A,,A,B
0001001817,000050,B,B,A,,B,A
0001001817,000060,B,A,B,,B,A
0001001818,000010,A,C,C,,B,C
0001001818,000020,B,C,B,,A,B
0001001818,000030,C,B,B,,A,C
0001001818,000040,B,C,B,,B,B
0001001818,000050,B,A,A,,A,B
0001001818,000060,B,A,A,,B,B
0001001818,000070,B,C,A,,C,B
0001001819,000010,A,B,B,,A,A
0001001819,000020,B,B,A,,B,B
0001001819,000030,C,B,A,,C,A
0001001819,000040,B,C,B,,A,A
0001001820,000010,A,B,B,,A,A
0001001820,000020,B,C,A,,B,B
0001001820,000030,B,B,C,,B,B
0001001820,000040,A,B,A,,C,A
0001001820,000050,C,A,A,,B,B
0001001821,000010,C,B,B,,C,A
0001001821,000020,B,A,C,,C,B
0001001821,000030,C,B,C,,C,B
0001001821,000040,B,A,B,,B,A
0001001821,000050,A,B,C,,B,A
0001001821,000060,B,B,B,,A,B
0001001821,000070,A,B,A,,A,C
0001001821,000080,B,A,B,,A,B
0001001821,000090,B,B,A,,B,B
0001001822,000010,A,C,B,,A,B
0001001822,000020,C,B,C,,A,B
0001001822,000030,A,A,A,,B,A
0001001822,000040,B,B,B,,C,A
0001001822,000050,B,A,B,,B,A
0001001822,000060,A,A,C,,A,B
0001001823,000010,B,B,B,,C,B
0001001823,000020,C,C,A,,B,B
0001001823,000030,C,C,C,,B,B
0001001824,000010,A,A,B,,C,C
0001001824,000020,A,A,B,,B,A
0001001824,000030,B,B,A,,C,A
0001001825,000010,A,B,A,,A,B
0001001825,000020,C,C,A,,B,A
0001001825,000030,A,B,C,,A,C
0001001825,000040,A,C,A,,C,B
0001001825,000050,B,B,B,,C,A
0001001825,000060,B,C,A,,B,B
0001001825,000070,B,B,A,,A,C
0001001826,000010,C,B,A,,A,B
0001001826,000020,B,B,C,,B,A
0001001826,000030,B,C,B,,B,A
0001001826,000040,B,B,C,,B,C
0001001827,000010,C,B,C,,C,A
0001001827,000020,A,C,B,,A,B
0001001827,000030,B,C,A,,C,B
0001001827,000040,B,B,B,,C,A
0001001827,000050,A,C,C,,A,B
0001001827,000060,C,A,B,,A,B
0001001828,000010,B,C,A,,A,A
0001001828,000020,A,C,B,,B,A
0001001828,000030,C,C,A,,A,B
0001001828,000040,C,C,A,,B,C
0001001829,000010,B,B,A,,C,A
0001001829,000020,B,B,C,,A,A
0001001829,000030,B,A,A,,A,A
0001001829,000040,A,A,A,,A,A
0001001829,000050,B,A,A,,A,C
0001001829,000060,B,B,B,,A,B
0001001829,000070,B,C,A,,B,B
0001001830,000010,A,C,A,,B,A
0001001830,000020,B,B,B,,B,A
0001001830,000030,C,A,A,,A,A
0001001830,000040,B,C,B,,B,C
0001001831,000010,C,C,C,,B,B
0001001831,000020,B,A,B,,B,A
0001001831,000030,B,B,A,,B,B
0001001831,000040,C,B,B,,B,A
0001001832,000010,B,B,A,,C,B
0001001832,000020,B,B,A,,C,B
0001001832,000030,C,C,A,,B,A
0001001832,000040,A,A,A,,B,A
0001001832,000050,B,C,B,,A,A
0001001832,000060,B,B,B,,A,B
0001001832,000070,A,B,A,,B,B
0001001833,000010,A,B,A,,B,C
0001001833,000020,B,C,B,,C,B
0001001833,000030,B,A,A,,A,B
0001001833,000040,B,B,A,,A,A
0001001833,000050,B,B,C,,A,B
0001001834,000010,B,B,C,,B,C
0001001834,000020,B,C,A,,C,B
0001001834,000030,C,C,A,,A,A
0001001834,000040,B,B,C,,A,C
0001001834,000050,C,A,C,,B,B
0001001834,000060,A,B,A,,B,B
0001001834,000070,B,B,A,,C,C
0001001834,000080,B,C,C,,B,B
0001001834,000090,A,C,A,,A,C
0001001835,000010,A,A,B,,B,C
0001001835,000020,A,B,B,,B,B
0001001835,000030,B,C,A,,B,A
0001001835,000040,B,B,C,,A,A
0001001836,000010,B,A,C,,B,B
0001001836,000020,A,A,C,,B,C
0001001836,000030,A,B,B,,B,B
0001001836,000040,B,C,C,,A,A
0001001836,000050,A,A,B,,B,C
0001001836,000060,C,C,B,,A,A
0001001837,000010,B,B,A,,B,C
0001001837,000020,C,C,B,,B,A
0001001837,000030,C,C,C,,A,A
0001001837,000040,B,B,A,,A,A
0001001837,000050,A,A,A,,B,C
0001001838,000010,A,A,A,,A,A
0001001838,000020,A,B,B,,A,A
0001001838,000030,B,C,C,,B,B
0001001838,000040,B,A,B,,A,B
0001001838,000050,B,A,C,,C,A
0001001838,000060,C,A,A,,B,A
0001001838,000070,B,A,C,,B,C
0001001839,000010,A,B,A,,C,A
0001001839,000020,B,B,A,,B,B
0001001839,000030,B,C,B,,A,B
0001001839,000040,C,C,B,,B,B
0001001839,000050,B,B,A,,B,A
0001001839,000060,A,B,C,,A,A
0001001839,000070,B,A,A,,A,A
0001001839,000080,A,C,A,,B,C
0001001840,000010,B,C,A,,A,C
0001001840,000020,B,B,C,,B,A
0001001840,000030,B,A,C,,A,B
0001001841,000010,B,A,C,,B,C
0001001841,000020,C,A,B,,A,A
0001001841,000030,B,B,A,,A,A
0001001841,000040,A,A,A,,A,A
0001001842,000010,B,C,A,,B,B
0001001842,000020,A,B,A,,A,A
0001001842,000030,B,C,B,,B,A
0001001842,000040,B,B,A,,B,A
0001001842,000050,A,A,C,,A,B
0001001843,000010,A,C,A,,A,A
0001001843,000020,B,C,B,,B,B
0001001843,000030,B,B,B,,B,A
0001001844,000010,B,C,B,,B,C
0001001844,000020,A,B,B,,B,B
0001001844,000030,A,C,A,,B,A
0001001844,000040,C,C,B,,A,C
0001001844,000050,B,A,C,,A,A
0001001845,000010,C,B,C,,A,C
0001001845,000020,B,B,C,,B,B
0001001845,000030,B,A,B,,B,B
0001001845,000040,C,B,B,,A,C
0001001845,000050,B,A,B,,B,C
0001001846,000010,B,A,A,,B,C
0001001846,000020,A,B,B,,C,B
0001001846,000030,B,C,A,,B,B
0001001846,000040,A,B,A,,A,A
0001001846,000050,B,B,B,,A,C
0001001846,000060,B,C,A,,C,B
0001001846,000070,C,B,B,,B,B
0001001846,000080,A,A,A,,B,C
0001001846,000090,B,A,A,,C,A
0001001846,000100,A,B,C,,A,A
0001001846,000110,C,B,B,,B,B
0001001847,000010,A,C,A,,C,B
0001001847,000020,A,C,A,,B,C
0001001847,000030,C,B,A,,C,B
0001001847,000040,B,A,B,,A,B
0001001847,000050,C,B,B,,B,B
0001001848,000010,B,A,A,,B,A
0001001848,000020,B,B,C,,A,A
0001001849,000010,B,B,B,,B,A
0001001849,000020,B,C,A,,B,B
0001001849,000030,B,C,B,,A,A
0001001849,000040,B,C,C,,B,A
0001001849,000050,C,B,C,,C,C
0001001849,000060,B,C,A,,C,B
0001001849,000070,A,A,A,,A,C
0001001849,000080,B,B,A,,A,B
0001001850,000010,A,B,A,,B,A
0001001850,000020,A,A,C,,C,B
0001001850,000030,C,B,B,,B,C
0001001850,000040,A,A,A,,B,B
0001001850,000050,C,B,C,,B,C
0001001851,000010,A,A,B,,A,B
0001001851,000020,B,A,A,,C,A
0001001851,000030,A,C,C,,B,B
0001001851,000040,B,A,A,,B,A
0001001851,000050,B,C,A,,A,B
0001001851,000060,A,C,B,,B,B
0001001851,000070,B,C,B,,A,C
0001001851,000080,B,C,C,,B,B
0001001851,000090,C,B,B,,B,A
0001001851,000100,B,A,B,,A,B
0001001851,000110,A,C,C,,A,B
0001001852,000010,B,B,A,,B,A
0001001852,000020,C,B,A,,B,B
0001001852,000030,C,A,B,,B,C
0001001852,000040,B,B,B,,B,C
0001001853,000010,B,B,B,,A,B
0001001853,000020,B,B,C,,C,B
0001001853,000030,B,A,C,,C,A
0001001853,000040,C,B,B,,C,B
0001001853,000050,B,A,B,,B,B
0001001853,000060,B,A,B,,B,A
0001001854,000010,B,B,B,,C,A
0001001854,000020,B,B,C,,B,A
0001001854,000030,A,C,B,,B,A
0001001854,000040,C,C,B,,A,B
0001001855,000010,A,C,A,,A,A
0001001855,000020,A,C,A,,B,A
0001001856,000010,C,B,A,,B,C
0001001856,000020,A,C,B,,B,B
0001001856,000030,A,B,B,,B,B
0001001856,000040,B,A,B,,C,B
0001001856,000050,B,B,A,,B,C
0001001856,000060,A,C,B,,B,A
0001001856,000070,B,B,B,,B,A
0001001857,000010,B,C,C,,B,A
0001001857,000020,B,B,B,,A,A
0001001857,000030,B,B,B,,A,C
0001001858,000010,B,B,C,,B,B
0001001858,000020,A,B,A,,B,B
0001001858,000030,B,A,C,,B,A
0001001858,000040,A,B,A,,A,B
0001001858,000050,C,B,C,,B,C
0001001858,000060,C,B,A,,B,C
0001001858,000070,C,A,C,,A,A
0001001858,000080,A,B,C,,B,A
0001001859,000010,B,B,B,,B,C
0001001859,000020,A,C,B,,B,B
0001001859,000030,A,C,A,,B,C
0001001859,000040,C,A,C,,A,A
0001001859,000050,B,A,A,,A,B
0001001859,000060,C,A,A,,B,B
0001001860,000010,C,B,C,,A,A
0001001860,000020,A,C,A,,B,B
0001001860,000030,C,B,C,,B,B
0001001860,000040,B,C,A,,B,C
0001001860,000050,A,C,C,,A,A
0001001860,000060,A,A,B,,C,B
0001001861,000010,B,C,A,,A,B
0001001861,000020,A,C,A,,B,C
0001001861,000030,B,C,A,,A,B
0001001861,000040,B,B,A,,B,B
0001001861,000050,B,C,B,,A,A
0001001861,000060,A,B,A,,B,C
0001001861,000070,C,C,B,,B,C
0001001861,000080,B,B,C,,B,B
0001001861,000090,B,C,A,,B,A
0001001862,000010,B,B,A,,B,B
0001001862,000020,A,A,A,,B,B
0001001863,000010,A,B,C,,A,A
0001001863,000020,B,B,B,,B,A
0001001863,000030,A,B,C,,A,B
0001001863,000040,C,C,C,,B,B
0001001863,000050,A,C,B,,B,B
0001001863,000060,B,A,A,,A,A
0001001863,000070,C,C,B,,C,C
0001001863,000080,B,B,A,,B,A
0001001864,000010,A,C,C,,A,C
0001001864,000020,B,C,A,,B,B
0001001864,000030,B,C,B,,C,B
0001001865,000010,C,B,A,,C,B
0001001865,000020,A,C,B,,C,A
0001001865,000030,B,B,B,,B,C
0001001865,000040,A,A,B,,A,A
0001001865,000050,B,A,B,,A,B
0001001866,000010,A,B,A,,B,A
0001001866,000020,A,A,B,,B,A
0001001866,000030,C,A,A,,B,B
0001001866,000040,B,C,C,,C,B
0001001866,000050,B,A,A,,A,A
0001001866,000060,C,B,B,,A,B
0001001867,000010,B,C,B,,B,B
0001001867,000020,B,B,B,,B,B
0001001867,000030,A,C,B,,B,A
0001001867,000040,B,B,B,,B,B
0001001867,000050,C,B,C,,A,A
0001001868,000010,A,B,C,,B,B
0001001868,000020,B,A,C,,B,B
0001001868,000030,B,A,C,,B,C
0001001868,000040,B,A,A,,A,A
0001001868,000050,A,A,B,,B,A
0001001868,000060,B,B,A,,B,A
0001001868,000070,B,A,A,,C,A
0001001868,000080,B,B,A,,B,A
0001001868,000090,C,B,B,,A,A
0001001868,000100,B,B,B,,B,B
0001001868,000110,C,A,A,,C,B
0001001869,000010,A,B,C,,B,A
0001001869,000020,B,C,A,,C,C
0001001869,000030,B,B,A,,A,A
0001001869,000040,A,B,B,,B,C
0001001869,000050,B,B,A,,B,B
0001001869,000060,B,B,B,,C,A
0001001869,000070,B,A,B,,A,B
0001001870,000010,B,C,A,,A,B
0001001870,000020,A,B,B,,C,B
0001001870,000030,B,C,A,,A,A
0001001871,000010,B,B,A,,C,B
0001001871,000020,A,B,C,,A,B
0001001871,000030,A,B,B,,A,A
0001001871,000040,A,B,A,,C,A
0001001871,000050,B,B,A,,A,A
0001001872,000010,A,C,C,,B,C
0001001872,000020,B,C,C,,A,A
0001001872,000030,A,C,C,,C,B
0001001872,000040,A,B,A,,B,A
0001001873,000010,C,B,A,,A,C
0001001873,000020,A,B,C,,A,B
0001001873,000030,C,A,C,,B,C
0001001873,000040,B,B,B,,C,B
0001001873,000050,A,B,C,,A,C
0001001873,000060,B,C,B,,C,B
0001001873,000070,B,A,C,,B,B
0001001873,000080,B,C,A,,A,B
0001001873,000090,A,A,B,,A,C
0001001874,000010,C,C,C,,A,A
0001001874,000020,A,C,C,,A,A
0001001874,000030,B,C,B,,C,B
0001001874,000040,A,B,B,,B,A
0001001875,000010,B,B,B,,C,B
0001001875,000020,C,C,A,,C,A
0001001875,000030,A,B,A,,C,B
0001001875,000040,A,B,B,,A,A
0001001875,000050,C,B,B,,C,B
0001001875,000060,C,B,A,,B,A
0001001875,000070,B,C,A,,A,A
0001001875,000080,A,C,A,,A,B
0001001875,000090,B,B,A,,C,B
0001001875,000100,B,A,B,,B,C
0001001875,000110,A,A,A,,A,C
0001001876,000010,A,B,A,,C,C
0001001876,000020,A,C,B,,B,A
0001001876,000030,B,C,A,,A,B
0001001876,000040,B,B,A,,B,C
0001001876,000050,B,C,C,,B,B
0001001876,000060,A,A,B,,B,C
0001001876,000070,A,B,C,,A,C
0001001876,000080,C,B,B,,B,C
0001001876,000090,A,B,A,,C,C
0001001876,000100,A,A,B,,B,B
0001001876,000110,B,C,A,,A,C
0001001876,000120,C,A,A,,B,C
0001001876,000130,A,B,B,,C,A
0001001877,000010,B,B,A,,B,B
0001001877,000020,B,B,C,,B,B
0001001878,000010,B,B,B,,A,A
0001001878,000020,B,A,C,,C,C
0001001878,000030,C,B,A,,A,C
0001001878,000040,B,C,C,,B,A
0001001878,000050,A,B,C,,A,C
0001001878,000060,A,C,C,,B,B
0001001878,000070,B,B,B,,A,B
0001001878,000080,B,C,C,,B,C
0001001879,000010,B,B,B,,B,B
0001001879,000020,B,B,B,,A,A
0001001879,000030,A,B,C,,B,A
0001001879,000040,C,C,C,,A,A
0001001879,000050,A,A,A,,C,A
0001001880,000010,B,B,A,,A,A
0001001880,000020,B,B,B,,C,C
0001001880,000030,C,C,A,,C,C
0001001880,000040,C,A,A,,A,C
0001001880,000050,C,C,A,,A,B
0001001880,000060,B,A,B,,C,A
0001001880,000070,A,B,A,,B,B
0001001880,000080,B,B,C,,C,A
0001001880,000090,A,A,A,,B,A
0001001880,000100,B,A,B,,B,A
0001001881,000010,A,B,A,,B,B
0001001881,000020,A,C,B,,B,B
0001001881,000030,B,B,C,,B,A
0001001882,000010,C,B,A,,A,A
0001001882,000020,A,B,C,,A,A
0001001883,000010,B,C,B,,B,B
0001001883,000020,B,C,A,,B,B
0001001883,000030,A,B,C,,A,A
0001001883,000040,C,B,A,,B,A
0001001884,000010,C,A,C,,A,B
0001001884,000020,B,B,A,,A,B
0001001885,000010,B,B,B,,B,C
0001001885,000020,A,B,B,,B,C
0001001885,000030,B,B,B,,A,A
0001001885,000040,B,C,C,,C,A
0001001885,000050,B,B,B,,B,A
0001001885,000060,A,B,B,,A,A
0001001885,000070,C,C,C,,A,B
0001001886,000010,B,A,B,,B,A
0001001886,000020,B,B,C,,A,A
0001001886,000030,A,B,B,,B,A
0001001886,000040,C,B,C,,B,C
0001001886,000050,A,C,B,,B,A
0001001886,000060,A,C,C,,B,B
0001001886,000070,B,A,C,,B,B
0001001887,000010,A,B,A,,C,C
0001001887,000020,B,C,C,,B,B
0001001887,000030,A,C,B,,B,A
0001001887,000040,B,C,C,,A,C
0001001888,000010,A,A,B,,B,A
0001001888,000020,A,B,A,,A,A
0001001888,000030,A,B,C,,B,C
0001001888,000040,A,C,B,,B,B
0001001888,000050,A,B,B,,B,B
0001001889,000010,A,B,A,,C,C
0001001889,000020,A,C,C,,B,B
0001001889,000030,B,C,B,,B,A
0001001889,000040,B,C,A,,B,C
0001001889,000050,A,B,B,,B,B
0001001889,000060,A,A,C,,B,A
0001001889,000070,B,C,C,,C,C
0001001890,000010,A,B,A,,C,C
0001001890,000020,A,C,C,,B,A
0001001890,000030,A,B,B,,B,B
0001001891,000010,B,B,C,,C,B
0001001891,000020,B,B,A,,B,C
0001001891,000030,C,B,B,,C,B
0001001891,000040,B,C,A,,B,B
0001001892,000010,B,B,A,,B,A
0001001892,000020,C,A,C,,C,A
0001001892,000030,B,C,C,,B,B
0001001893,000010,B,B,A,,C,B
0001001893,000020,A,C,A,,B,B
0001001893,000030,A,B,A,,C,B
0001001894,000010,B,B,A,,A,A
0001001894,000020,C,C,C,,B,B
0001001894,000030,A,C,A,,C,B
0001001894,000040,B,C,A,,B,B
0001001894,000050,A,B,A,,A,A
0001001894,000060,B,B,B,,C,C
0001001894,000070,B,C,C,,A,A
0001001894,000080,A,B,A,,B,A
0001001894,000090,B,B,A,,B,C
0001001895,000010,A,B,B,,C,A
0001001895,000020,B,B,A,,B,B
0001001895,000030,B,B,B,,A,B
0001001895,000040,A,B,A,,B,A
0001001895,000050,B,B,A,,B,A
0001001896,000010,C,A,C,,C,B
0001001896,000020,C,A,B,,B,A
0001001896,000030,B,A,A,,B,A
0001001896,000040,B,C,A,,A,B
0001001896,000050,A,B,B,,B,A
0001001896,000060,B,A,B,,B,B
0001001897,000010,A,A,A,,B,B
0001001897,000020,B,A,A,,A,A
0001001897,000030,C,A,A,,B,A
0001001898,000010,A,B,C,,B,A
0001001898,000020,B,A,B,,B,B
0001001898,000030,B,B,C,,B,A
0001001898,000040,B,B,B,,C,C
0001001898,000050,B,B,C,,B,B
0001001899,000010,B,B,B,,B,A
0001001899,000020,B,A,C,,B,B
0001001899,000030,B,A,A,,C,B
0001001899,000040,A,B,B,,A,A
0001001900,000010,A,C,B,,B,C
0001001900,000020,A,C,B,,C,B
0001001900,000030,B,A,C,,A,B
0001001900,000040,A,C,A,,C,A
0001001900,000050,B,A,A,,A,A
0001001900,000060,A,B,A,,A,B
0001001900,000070,B,B,A,,B,A
0001001901,000010,B,C,A,,B,A
0001001901,000020,C,B,A,,B,C
0001001902,000010,B,C,A,,B,B
0001001903,000010,B,A,B,,A,C
0001001903,000020,B,C,B,,B,B
0001001903,000030,A,B,B,,B,B
0001001903,000040,B,B,A,,B,A
0001001904,000010,B,C,B,,B,B
0001001904,000020,A,A,C,,B,A
0001001904,000030,B,B,B,,C,A
0001001905,000010,B,A,B,,B,B
0001001905,000020,B,A,B,,A,A
0001001905,000030,C,A,B,,B,C
0001001906,000010,C,C,A,,A,A
0001001906,000020,A,B,A,,C,B
0001001906,000030,A,C,A,,B,C
0001001907,000010,B,A,A,,A,A
0001001907,000020,A,B,C,,A,B
0001001907,000030,A,B,A,,C,B
0001001907,000040,B,B,B,,B,C
0001001907,000050,B,A,C,,B,A
0001001908,000010,A,B,B,,B,B
0001001908,000020,C,A,A,,C,B
