VBELN,LFSTK,FKSTK,GBSTK,ABSTK,LFGSK,FKIVK,UVALL,CMGST
0001003064,B,A,B,,C,,,
0001003065,B,A,B,,B,,,B
0001003066,B,C,A,,B,,,A
0001003067,A,A,B,,B,,,
0001003068,B,B,C,,A,,,A
0001003069,B,B,C,,C,,,A
0001003070,B,C,A,,B,,,
0001003071,B,C,C,,A,,,
0001003072,C,B,C,,B,,,A
0001003073,B,B,B,,C,,,A
0001003074,B,A,A,,A,,,B
0001003075,B,A,A,,C,,,
0001003076,B,A,B,,B,,,A
0001003077,A,C,A,,B,,,
0001003078,A,C,B,,C,,,A
0001003079,B,C,B,,A,,,B
0001003080,C,A,A,,A,,,
0001003081,A,C,A,,A,,,B
0001003082,C,C,B,,A,,,
0001003083,B,B,B,,B,,,B
0001003084,A,C,B,,B,,,A
0001003085,B,B,B,,A,,,A
0001003086,C,A,A,,A,,,
0001003087,B,A,A,,B,,,
0001003088,A,B,B,,B,,,B
0001003089,A,B,C,,B,,,
0001003090,B,A,A,,B,,,
0001003091,C,A,B,,B,,,A
0001003092,C,B,A,,C,,,
0001003093,C,A,A,,C,,,B
0001003094,B,B,C,,C,,,A
0001003095,A,C,B,,A,,,
0001003096,B,B,A,,B,,,B
0001003097,B,A,B,,A,,,
0001003098,A,A,B,,C,,,B
0001003099,B,C,A,,A,,,B
0001003100,B,C,A,,B,,,A
0001003101,B,A,B,,C,,,
0001003102,B,C,B,,C,,,A
0001003103,A,B,A,,B,,,
0001003104,A,B,C,,A,,,B
0001003105,A,B,A,,B,,,A
0001003106,B,A,C,,C,,,A
0001003107,B,C,C,,B,,,A
0001003108,B,C,B,,A,,,
0001003109,A,C,A,,A,,,A
0001003110,C,A,A,,A,,,
0001003111,A,B,B,,B,,,
0001003112,B,A,B,,A,,,
0001003113,B,B,A,,C,,,A
0001003114,B,B,B,,B,,,B
0001003115,B,C,B,,C,,,A
0001003116,C,A,A,,B,,,
0001003117,B,C,A,,A,,,
0001003118,B,B,A,,A,,,B
0001003119,B,B,A,,A,,,
0001003120,A,C,A,,C,,,
0001003121,B,A,B,,A,,,
0001003122,A,A,B,,B,,,
0001003123,A,B,B,,B,,,A
0001003124,A,B,B,,C,,,A
0001003125,B,B,A,,C,,,
0001003126,B,A,B,,B,,,
0001003127,B,C,B,,A,,,
0001003128,C,B,C,,A,,,
0001003129,B,B,B,,B,,,
0001003130,C,C,C,,C,,,
0001003131,B,B,C,,B,,,
0001003132,A,B,B,,C,,,
0001003133,A,B,C,,A,,,
0001003134,B,C,A,,B,,,
0001003135,A,C,A,,B,,,
0001003136,B,A,C,,B,,,B
0001003137,C,B,C,,A,,,
0001003138,B,B,C,,B,,,A
0001003139,C,B,B,,B,,,
0001003140,B,B,B,,A,,,
0001003141,B,B,A,,A,,,
0001003142,B,A,A,,A,,,
0001003143,A,A,B,,A,,,
0001003144,A,B,B,,B,,,
0001003145,C,A,A,,A,,,
0001003146,B,C,B,,B,,,
0001003147,B,A,A,,A,,,
0001003148,A,A,A,,A,,,B
0001003149,C,B,B,,B,,,A
0001003150,B,B,B,,B,,,
0001003151,A,B,A,,A,,,
0001003152,B,A,B,,B,,,A
0001003153,B,B,A,,B,,,B
0001003154,C,C,A,,C,,,
0001003155,B,C,A,,B,,,A
0001003156,A,A,A,,C,,,B
0001003157,A,B,C,,C,,,A
0001003158,C,B,B,,B,,,B
0001003159,A,C,B,,B,,,
0001003160,B,B,A,,C,,,
0001003161,C,A,B,,B,,,A
0001003162,B,A,A,,A,,,
0001003163,B,B,B,,B,,,A
0001003164,A,C,C,,C,,,
0001003165,A,A,B,,B,,,A
0001003166,B,C,B,,C,,,
0001003167,C,A,B,,B,,,A
0001003168,B,C,C,,A,,,B
0001003169,B,A,B,,A,,,
0001003170,B,B,B,,C,,,
0001003171,C,A,C,,A,,,
0001003172,B,C,A,,B,,,B
0001003173,B,A,A,,A,,,
0001003174,B,A,B,,B,,,A
0001003175,B,B,A,,A,,,
0001003176,C,B,A,,B,,,A
0001003177,C,B,A,,B,,,
0001003178,B,B,A,,C,,,
0001003179,B,C,B,,A,,,
0001003180,B,C,B,,A,,,B
0001003181,A,B,A,,B,,,A
0001003182,A,A,B,,C,,,
0001003183,B,B,A,,A,,,A
0001003184,A,C,A,,B,,,A
0001003185,B,C,A,,A,,,
0001003186,B,A,C,,A,,,B
0001003187,B,B,C,,B,,,A
0001003188,B,B,A,,C,,,
0001003189,B,B,C,,C,,,A
0001003190,B,B,C,,B,,,
0001003191,A,C,A,,C,,,A
0001003192,A,B,C,,A,,,A
0001003193,A,B,B,,B,,,
0001003194,C,C,B,,A,,,
0001003195,B,C,C,,C,,,
0001003196,B,B,B,,C,,,B
0001003197,B,B,B,,B,,,B
0001003198,A,B,B,,B,,,
0001003199,C,B,B,,A,,,B
0001003200,B,A,A,,B,,,B
0001003201,A,C,B,,B,,,
0001003202,C,C,C,,A,,,A
0001003203,C,B,A,,B,,,
0001003204,C,C,C,,A,,,A
0001003205,A,A,B,,A,,,
0001003206,A,C,B,,B,,,
0001003207,A,B,B,,A,,,A
0001003208,A,B,B,,A,,,
0001003209,C,A,A,,A,,,A
0001003210,B,B,C,,C,,,
0001003211,A,B,C,,B,,,A
0001003212,A,A,C,,B,,,B
0001003213,A,C,C,,A,,,
0001003214,A,C,B,,B,,,A
0001003215,A,C,A,,B,,,A
0001003216,B,C,A,,A,,,
0001003217,B,A,A,,B,,,
0001003218,B,A,B,,A,,,A
0001003219,B,B,C,,B,,,A
0001003220,A,C,B,,B,,,
0001003221,B,B,A,,A,,,
0001003222,A,B,B,,B,,,
0001003223,B,C,B,,B,,,A
0001003224,B,B,C,,C,,,
0001003225,C,A,A,,B,,,A
0001003226,B,A,C,,B,,,A
0001003227,B,A,B,,B,,,B
0001003228,C,C,A,,B,,,
0001003229,B,A,B,,B,,,
0001003230,B,B,B,,B,,,B
0001003231,B,A,A,,B,,,A
0001003232,C,A,C,,A,,,B
0001003233,B,A,A,,C,,,
0001003234,B,B,A,,B,,,
0001003235,A,B,B,,B,,,
0001003236,C,A,B,,B,,,B
0001003237,B,A,B,,B,,,
0001003238,B,B,B,,B,,,A
0001003239,B,B,B,,A,,,
0001003240,A,B,A,,B,,,
0001003241,C,A,A,,B,,,
0001003242,B,B,B,,A,,,
0001003243,B,A,B,,A,,,
0001003244,A,C,A,,B,,,A
0001003245,A,B,A,,B,,,
0001003246,A,B,B,,B,,,A
0001003247,A,C,B,,A,,,A
0001003248,A,C,B,,B,,,
0001003249,A,B,B,,B,,,
0001003250,C,B,C,,B,,,
0001003251,B,B,B,,B,,,
0001003252,A,B,A,,C,,,
0001003253,B,B,A,,B,,,
0001003254,B,B,C,,A,,,
0001003255,B,B,B,,C,,,A
0001003256,C,B,C,,B,,,
0001003257,B,B,C,,B,,,
0001003258,B,C,B,,B,,,
0001003259,B,A,B,,B,,,A
0001003260,A,B,A,,C,,,A
0001003261,B,A,B,,C,,,
0001003262,B,C,C,,C,,,B
0001003263,B,A,B,,B,,,B
0001003264,B,C,A,,B,,,
0001003265,A,C,C,,B,,,A
0001003266,A,A,A,,A,,,A
0001003267,B,A,B,,B,,,
0001003268,A,B,B,,C,,,
0001003269,A,B,A,,C,,,
0001003270,B,C,C,,A,,,
0001003271,B,C,B,,C,,,A
0001003272,B,C,B,,A,,,
0001003273,B,A,A,,C,,,B
0001003274,C,A,B,,A,,,
0001003275,C,B,A,,A,,,A
0001003276,A,B,C,,C,,,
0001003277,B,C,B,,B,,,
0001003278,A,C,A,,B,,,
0001003279,A,B,A,,B,,,
0001003280,B,A,A,,B,,,B
0001003281,A,C,A,,B,,,A
0001003282,B,A,C,,A,,,B
0001003283,A,C,B,,B,,,B
0001003284,A,B,A,,A,,,B
0001003285,A,B,A,,B,,,A
0001003286,A,B,C,,C,,,B
0001003287,B,C,B,,A,,,
0001003288,B,B,B,,A,,,B
0001003289,B,C,C,,A,,,A
0001003290,B,B,A,,B,,,
0001003291,A,A,C,,B,,,
0001003292,A,B,C,,A,,,A
0001003293,C,A,C,,A,,,
0001003294,B,B,C,,C,,,
0001003295,A,A,A,,C,,,A
0001003296,A,A,B,,C,,,
0001003297,C,C,B,,C,,,
0001003298,B,B,A,,C,,,A
0001003299,B,C,C,,B,,,A
0001003300,B,C,A,,A,,,A
0001003301,A,A,C,,A,,,
0001003302,C,B,B,,B,,,B
0001003303,A,B,A,,B,,,
0001003304,A,B,A,,C,,,
0001003305,B,C,C,,A,,,B
0001003306,B,A,B,,A,,,
0001003307,A,B,C,,B,,,
0001003308,C,B,A,,B,,,
0001003309,B,B,B,,A,,,A
0001003310,A,B,A,,B,,,
0001003311,A,A,A,,A,,,B
0001003312,C,B,C,,B,,,
0001003313,A,B,C,,C,,,
0001003314,C,B,C,,A,,,
0001003315,A,B,B,,B,,,
0001003316,B,B,B,,C,,,A
0001003317,A,B,B,,B,,,A
0001003318,A,A,A,,A,,,A
0001003319,A,B,A,,C,,,
0001003320,B,B,A,,B,,,B
0001003321,C,A,B,,A,,,A
0001003322,B,B,B,,C,,,
0001003323,A,A,C,,A,,,A
0001003324,A,B,B,,C,,,B
0001003325,B,B,C,,A,,,
0001003326,A,C,C,,C,,,A
0001003327,A,B,B,,A,,,A
0001003328,A,C,A,,B,,,
0001003329,A,A,C,,A,,,B
0001003330,A,B,B,,A,,,B
0001003331,B,B,B,,B,,,B
0001003332,A,B,B,,B,,,
0001003333,A,B,A,,A,,,A
0001003334,A,B,C,,C,,,
0001003335,A,B,B,,B,,,
0001003336,B,C,B,,B,,,B
0001003337,C,B,C,,B,,,
0001003338,B,C,A,,A,,,
0001003339,B,A,A,,B,,,B
0001003340,A,B,C,,B,,,A
0001003341,B,B,B,,A,,,
0001003342,B,C,C,,B,,,B
0001003343,B,A,B,,B,,,
0001003344,B,B,B,,C,,,
0001003345,A,A,A,,B,,,B
0001003346,C,A,A,,A,,,
0001003347,C,B,B,,C,,,B
0001003348,B,A,C,,A,,,
0001003349,A,B,C,,B,,,
0001003350,A,C,A,,B,,,
0001003351,A,B,C,,B,,,
0001003352,C,A,A,,B,,,
0001003353,C,B,B,,C,,,B
0001003354,A,C,B,,C,,,
0001003355,A,A,B,,B,,,B
0001003356,A,C,C,,A,,,
0001003357,A,B,C,,B,,,
0001003358,C,C,B,,A,,,B
0001003359,C,B,B,,C,,,
0001003360,B,C,B,,C,,,
0001003361,A,B,A,,B,,,A
0001003362,A,C,B,,A,,,
0001003363,A,C,A,,C,,,A
0001003364,B,A,A,,C,,,B
0001003365,A,A,A,,A,,,A
0001003366,A,C,B,,B,,,
0001003367,A,B,A,,A,,,
0001003368,A,B,B,,C,,,A
0001003369,A,B,C,,A,,,
0001003370,C,C,C,,C,,,
0001003371,B,C,B,,A,,,A
0001003372,B,B,A,,A,,,
0001003373,B,B,A,,B,,,A
0001003374,B,C,B,,B,,,B
0001003375,A,B,C,,B,,,A
0001003376,B,A,B,,B,,,
0001003377,B,A,A,,A,,,
0001003378,B,C,B,,B,,,B
0001003379,B,C,B,,B,,,
0001003380,B,C,B,,B,,,A
0001003381,B,B,A,,C,,,
0001003382,A,B,B,,A,,,
0001003383,A,A,A,,B,,,A
0001003384,B,B,B,,B,,,
0001003385,A,C,A,,B,,,A
0001003386,C,B,B,,B,,,B
0001003387,B,C,A,,A,,,
0001003388,B,A,A,,A,,,B
0001003389,C,B,C,,B,,,
0001003390,B,B,C,,A,,,
0001003391,C,C,B,,A,,,
0001003392,A,C,B,,B,,,
0001003393,B,C,A,,B,,,B
0001003394,C,C,B,,B,,,A
0001003395,B,B,A,,B,,,A
0001003396,B,B,A,,B,,,A
0001003397,B,B,A,,A,,,
0001003398,B,C,A,,B,,,
0001003399,A,C,C,,C,,,A
0001003400,B,A,C,,A,,,A
0001003401,C,A,A,,A,,,B
0001003402,B,C,A,,A,,,B
0001003403,C,B,A,,B,,,
0001003404,B,A,C,,A,,,
0001003405,A,B,A,,B,,,A
0001003406,A,C,B,,B,,,
0001003407,A,C,C,,A,,,A
0001003408,B,C,A,,B,,,B
0001003409,A,C,C,,A,,,
0001003410,B,C,C,,B,,,A
0001003411,B,B,C,,B,,,
0001003412,B,B,B,,B,,,
0001003413,C,A,A,,C,,,
0001003414,A,A,C,,B,,,A
0001003415,B,A,B,,B,,,
0001003416,B,B,B,,B,,,A
0001003417,C,A,B,,A,,,
0001003418,B,B,B,,B,,,A
0001003419,B,C,B,,C,,,A
0001003420,A,B,A,,A,,,B
0001003421,B,B,A,,B,,,B
0001003422,C,C,B,,C,,,B
0001003423,B,A,A,,B,,,
0001003424,C,B,B,,B,,,
0001003425,B,B,B,,C,,,
0001003426,A,A,A,,B,,,
0001003427,A,B,A,,A,,,
0001003428,A,B,B,,C,,,
0001003429,A,B,C,,B,,,B
0001003430,B,B,B,,C,,,
0001003431,C,B,A,,C,,,A
0001003432,A,A,C,,B,,,A
0001003433,B,B,A,,C,,,A
0001003434,A,B,A,,B,,,A
0001003435,A,B,A,,B,,,
0001003436,B,B,B,,C,,,A
0001003437,A,A,A,,C,,,
0001003438,B,B,C,,C,,,B
0001003439,A,C,B,,A,,,A
0001003440,B,A,B,,B,,,A
0001003441,A,A,C,,A,,,A
0001003442,A,C,B,,A,,,B
0001003443,A,C,C,,B,,,A
0001003444,A,C,B,,A,,,A
0001003445,B,A,A,,B,,,A
0001003446,B,A,B,,B,,,B
0001003447,C,C,A,,C,,,
0001003448,A,C,B,,B,,,
0001003449,A,B,A,,A,,,
0001003450,B,C,C,,C,,,A
0001003451,A,B,C,,B,,,A
0001003452,B,A,A,,B,,,A
0001003453,B,B,A,,A,,,
0001003454,A,B,A,,B,,,A
0001003455,B,A,A,,B,,,B
0001003456,B,C,A,,C,,,B
0001003457,A,B,C,,C,,,
0001003458,B,A,C,,C,,,A
0001003459,A,A,A,,A,,,B
0001003460,A,B,B,,A,,,A
0001003461,B,B,C,,B,,,
0001003462,B,A,B,,A,,,
0001003463,B,C,B,,B,,,
0001003464,C,C,B,,C,,,
0001003465,A,B,B,,A,,,
0001003466,C,B,A,,B,,,A
0001003467,A,A,A,,B,,,A
0001003468,A,B,C,,A,,,B
0001003469,C,C,A,,A,,,
0001003470,B,B,A,,C,,,
0001003471,B,B,B,,C,,,
0001003472,B,A,B,,C,,,
0001003473,A,A,A,,C,,,A
0001003474,C,C,A,,A,,,
0001003475,B,B,B,,A,,,A
0001003476,A,B,C,,B,,,B
0001003477,A,A,A,,A,,,A
0001003478,C,C,C,,A,,,A
0001003479,B,B,B,,B,,,
0001003480,C,C,B,,A,,,B
0001003481,A,C,A,,A,,,
0001003482,B,B,C,,C,,,B
0001003483,B,C,A,,B,,,A
0001003484,A,C,A,,C,,,
0001003485,A,C,A,,B,,,
0001003486,B,C,B,,B,,,
0001003487,C,B,B,,B,,,
0001003488,B,C,A,,B,,,
0001003489,A,A,A,,B,,,
0001003490,B,C,A,,B,,,
0001003491,B,C,B,,B,,,A
0001003492,B,B,A,,B,,,
0001003493,A,A,B,,B,,,B
0001003494,C,C,A,,A,,,
0001003495,C,B,A,,B,,,A
0001003496,B,B,B,,B,,,
0001003497,B,B,A,,B,,,A
0001003498,C,A,B,,B,,,B
0001003499,A,C,B,,B,,,A
0001003500,C,A,A,,B,,,B
0001003501,B,A,C,,B,,,A
0001003502,A,A,A,,A,,,
0001003503,B,C,B,,B,,,A
0001003504,B,A,B,,C,,,B
0001003505,A,C,A,,B,,,
0001003506,B,B,A,,C,,,B
0001003507,B,B,C,,C,,,
0001003508,C,B,A,,A,,,A
0001003509,A,B,B,,B,,,
0001003510,B,C,B,,A,,,
0001003511,B,B,B,,A,,,A
0001003512,B,A,B,,B,,,
0001003513,A,C,B,,A,,,A
0001003514,C,C,C,,A,,,
0001003515,B,A,A,,B,,,
0001003516,B,B,A,,B,,,B
0001003517,A,B,C,,B,,,A
0001003518,B,B,B,,B,,,
0001003519,B,C,A,,B,,,
0001003520,B,B,A,,A,,,A
0001003521,B,B,A,,B,,,A
0001003522,B,C,A,,C,,,A
0001003523,C,C,A,,A,,,B
0001003524,A,B,B,,A,,,
0001003525,B,B,B,,B,,,
0001003526,B,A,A,,B,,,A
0001003527,B,A,A,,B,,,B
0001003528,C,C,A,,B,,,
0001003529,B,C,A,,A,,,B
0001003530,B,C,B,,C,,,
0001003531,C,A,B,,B,,,
0001003532,B,A,C,,A,,,
0001003533,B,A,A,,B,,,B
0001003534,B,A,B,,B,,,
0001003535,A,A,B,,B,,,
0001003536,B,C,A,,B,,,A
0001003537,A,B,A,,B,,,A
0001003538,C,A,C,,B,,,
0001003539,B,C,A,,B,,,
0001003540,C,B,B,,A,,,B
0001003541,A,B,A,,A,,,
0001003542,A,C,B,,C,,,
0001003543,B,B,A,,A,,,
0001003544,B,A,A,,B,,,
0001003545,A,A,B,,B,,,A
0001003546,A,B,A,,A,,,
0001003547,B,B,A,,A,,,
0001003548,B,B,B,,A,,,A
0001003549,C,B,B,,B,,,A
0001003550,A,B,C,,C,,,A
0001003551,B,C,C,,C,,,A
0001003552,B,B,C,,B,,,A
0001003553,A,A,A,,B,,,A
0001003554,B,A,B,,A,,,A
0001003555,C,C,A,,B,,,A
0001003556,B,C,B,,A,,,B
0001003557,C,A,A,,A,,,
0001003558,C,A,B,,A,,,B
0001003559,A,C,A,,B,,,A
0001003560,B,B,A,,B,,,B
0001003561,A,C,B,,B,,,A
0001003562,A,C,B,,C,,,
0001003563,C,A,A,,B,,,B
0001003564,B,A,A,,C,,,
0001003565,A,C,C,,A,,,
0001003566,B,C,B,,B,,,A
0001003567,B,A,C,,B,,,
0001003568,B,A,C,,C,,,A
0001003569,B,B,C,,A,,,
0001003570,B,B,B,,B,,,B
0001003571,C,B,A,,B,,,B
0001003572,C,A,C,,B,,,
0001003573,B,B,B,,B,,,
0001003574,B,B,B,,C,,,B
0001003575,C,B,C,,B,,,B
0001003576,B,A,B,,B,,,
0001003577,B,B,B,,A,,,A
0001003578,C,C,B,,A,,,B
0001003579,A,B,A,,C,,,A
0001003580,B,C,C,,A,,,A
0001003581,B,A,A,,B,,,B
0001003582,A,B,B,,C,,,
0001003583,B,C,B,,B,,,
0001003584,C,B,C,,B,,,A
0001003585,A,A,A,,A,,,
0001003586,B,B,A,,A,,,
0001003587,C,B,A,,A,,,
0001003588,C,A,A,,A,,,
0001003589,C,B,A,,A,,,B
0001003590,A,C,A,,B,,,B
0001003591,A,B,B,,C,,,
0001003592,B,C,B,,A,,,B
0001003593,B,C,A,,A,,,A
0001003594,A,C,C,,A,,,A
0001003595,B,B,C,,C,,,
0001003596,A,B,B,,A,,,A
0001003597,B,B,B,,B,,,
0001003598,B,B,B,,B,,,
0001003599,B,B,A,,C,,,
0001003600,C,A,C,,B,,,
0001003601,C,A,A,,B,,,A
0001003602,C,B,A,,B,,,A
0001003603,B,B,C,,B,,,A
0001003604,A,B,C,,B,,,A
0001003605,A,B,A,,B,,,A
0001003606,B,C,A,,A,,,
0001003607,B,C,A,,B,,,A
0001003608,C,C,C,,B,,,
0001003609,A,B,B,,B,,,
0001003610,B,C,B,,B,,,
0001003611,A,B,A,,B,,,
0001003612,B,B,B,,C,,,B
0001003613,C,B,A,,A,,,
0001003614,B,B,A,,B,,,
0001003615,C,C,B,,B,,,
0001003616,C,A,C,,B,,,A
0001003617,C,B,C,,A,,,
0001003618,B,C,C,,C,,,
0001003619,B,B,A,,A,,,A
0001003620,B,B,A,,B,,,B
0001003621,A,C,B,,B,,,
0001003622,B,C,A,,B,,,
0001003623,B,C,A,,A,,,A
0001003624,A,C,B,,B,,,
0001003625,C,B,A,,B,,,
0001003626,B,B,B,,B,,,
0001003627,B,A,B,,B,,,
0001003628,A,A,C,,A,,,
0001003629,C,A,A,,B,,,
0001003630,C,A,B,,B,,,
0001003631,A,C,B,,B,,,
0001003632,A,A,A,,A,,,
0001003633,C,B,A,,B,,,B
0001003634,B,A,C,,B,,,
0001003635,B,C,B,,B,,,
0001003636,A,C,A,,A,,,B
0001003637,A,B,A,,B,,,A
0001003638,A,B,C,,C,,,A
0001003639,B,A,B,,A,,,A
0001003640,B,B,A,,B,,,
0001003641,C,B,C,,A,,,A
0001003642,C,B,B,,C,,,
0001003643,A,C,C,,B,,,
0001003644,A,C,C,,C,,,
0001003645,A,B,B,,B,,,
0001003646,C,C,B,,A,,,A
0001003647,A,A,B,,A,,,A
0001003648,A,B,B,,B,,,A
0001003649,B,A,C,,C,,,
0001003650,C,A,C,,A,,,
0001003651,A,C,B,,A,,,B
0001003652,C,B,B,,A,,,
0001003653,B,B,C,,A,,,
0001003654,A,B,A,,B,,,
0001003655,B,B,A,,B,,,
0001003656,B,C,B,,C,,,
0001003657,A,B,B,,B,,,A
0001003658,B,A,A,,A,,,
0001003659,B,A,A,,A,,,A
0001003660,B,B,B,,B,,,
0001003661,A,C,B,,B,,,B
0001003662,C,C,A,,C,,,
0001003663,A,B,C,,B,,,
0001003664,A,B,A,,B,,,B
0001003665,A,C,C,,C,,,A
0001003666,A,B,A,,B,,,A
0001003667,C,B,A,,A,,,
0001003668,B,A,C,,A,,,A
0001003669,B,B,A,,A,,,
0001003670,B,C,B,,A,,,
0001003671,A,A,B,,B,,,A
0001003672,B,C,A,,C,,,B
0001003673,C,B,B,,B,,,A
0001003674,B,C,C,,B,,,B
0001003675,A,C,C,,B,,,
0001003676,A,C,A,,C,,,B
0001003677,A,B,C,,B,,,A
0001003678,A,A,B,,B,,,
0001003679,B,B,A,,B,,,A
0001003680,B,B,B,,C,,,B
0001003681,B,B,A,,B,,,
0001003682,B,C,B,,C,,,A
0001003683,A,B,C,,B,,,
0001003684,B,C,B,,C,,,A
0001003685,A,B,C,,C,,,A
0001003686,C,C,C,,A,,,
0001003687,A,A,C,,A,,,
0001003688,A,C,B,,B,,,B
0001003689,C,B,A,,B,,,B
0001003690,B,A,A,,B,,,B
0001003691,B,A,C,,C,,,A
0001003692,B,B,B,,B,,,
0001003693,B,C,B,,B,,,
0001003694,B,B,A,,A,,,
0001003695,B,A,B,,B,,,
0001003696,A,B,A,,B,,,
0001003697,A,B,A,,A,,,A
0001003698,B,B,C,,B,,,B
0001003699,B,B,B,,A,,,
0001003700,C,B,A,,B,,,
0001003701,C,B,B,,B,,,
0001003702,A,A,C,,A,,,A
0001003703,C,B,A,,A,,,
0001003704,C,B,A,,C,,,
0001003705,B,B,B,,C,,,A
0001003706,B,A,C,,C,,,
0001003707,B,B,B,,C,,,B
0001003708,A,C,C,,A,,,B
0001003709,B,B,A,,C,,,B
0001003710,B,A,B,,A,,,
0001003711,B,B,B,,A,,,
0001003712,B,B,A,,A,,,
0001003713,A,B,B,,B,,,
0001003714,B,B,B,,C,,,B
0001003715,B,B,A,,B,,,
0001003716,B,C,C,,B,,,
0001003717,A,C,A,,B,,,A
0001003718,B,B,A,,A,,,
0001003719,B,A,B,,C,,,
0001003720,B,B,B,,B,,,A
0001003721,B,B,A,,A,,,A
0001003722,B,B,B,,B,,,
0001003723,B,C,A,,B,,,B
0001003724,B,C,A,,B,,,B
0001003725,B,B,A,,B,,,A
0001003726,A,C,B,,B,,,
0001003727,B,B,A,,B,,,
0001003728,A,C,A,,A,,,B
0001003729,B,C,C,,A,,,A
0001003730,B,C,A,,B,,,A
0001003731,B,B,C,,B,,,
0001003732,B,B,B,,B,,,
0001003733,C,A,B,,B,,,A
0001003734,B,B,C,,A,,,
0001003735,B,A,C,,A,,,
0001003736,A,B,B,,C,,,B
0001003737,B,C,B,,B,,,
0001003738,B,A,B,,B,,,A
0001003739,B,C,B,,B,,,A
0001003740,B,A,C,,A,,,B
0001003741,A,B,A,,B,,,A
0001003742,B,A,C,,A,,,
0001003743,B,B,A,,A,,,A
0001003744,B,B,B,,B,,,B
0001003745,A,C,A,,A,,,
0001003746,C,A,B,,B,,,
0001003747,C,C,A,,B,,,
0001003748,B,C,C,,B,,,
0001003749,C,B,A,,A,,,A
0001003750,B,A,B,,B,,,
0001003751,C,B,B,,B,,,
0001003752,C,B,C,,B,,,
0001003753,B,C,C,,B,,,
0001003754,B,B,C,,B,,,
0001003755,A,C,A,,C,,,A
0001003756,C,A,A,,C,,,A
0001003757,A,B,B,,C,,,B
0001003758,A,C,C,,A,,,A
0001003759,B,C,C,,A,,,
0001003760,B,C,C,,B,,,
0001003761,B,C,A,,C,,,A
0001003762,C,A,A,,A,,,A
0001003763,A,C,C,,B,,,
0001003764,B,B,B,,B,,,A
0001003765,B,B,A,,B,,,
0001003766,A,C,B,,B,,,
0001003767,A,C,A,,B,,,
0001003768,B,B,A,,B,,,
0001003769,C,B,B,,A,,,B
0001003770,A,C,C,,A,,,A
0001003771,A,B,C,,A,,,
0001003772,A,B,C,,B,,,B
0001003773,A,C,A,,A,,,A
0001003774,A,C,A,,A,,,
0001003775,A,B,C,,B,,,A
0001003776,B,B,C,,A,,,
0001003777,B,C,A,,A,,,A
0001003778,B,B,A,,C,,,B
0001003779,B,C,A,,B,,,A
0001003780,A,A,A,,B,,,A
0001003781,A,A,B,,C,,,
0001003782,C,C,A,,A,,,A
0001003783,B,C,B,,A,,,
0001003784,A,A,A,,A,,,
0001003785,A,C,A,,C,,,A
0001003786,A,C,C,,A,,,
0001003787,B,C,B,,B,,,B
0001003788,A,B,B,,A,,,B
0001003789,A,C,A,,B,,,B
0001003790,B,A,A,,A,,,A
0001003791,A,C,A,,B,,,A
0001003792,A,B,B,,A,,,
0001003793,B,C,C,,A,,,
0001003794,C,A,C,,C,,,A
0001003795,A,B,A,,A,,,
0001003796,B,B,A,,B,,,
0001003797,B,B,C,,C,,,
0001003798,B,C,B,,B,,,
0001003799,B,B,A,,B,,,B
0001003800,B,B,B,,B,,,A
0001003801,C,C,C,,B,,,A
0001003802,A,B,C,,A,,,B
0001003803,A,A,A,,A,,,
0001003804,C,B,B,,A,,,
0001003805,A,B,B,,A,,,A
0001003806,B,B,A,,B,,,A
0001003807,C,C,B,,B,,,B
0001003808,A,C,B,,B,,,
0001003809,B,B,A,,A,,,
0001003810,A,C,B,,B,,,
0001003811,B,A,A,,B,,,
0001003812,B,A,B,,A,,,
0001003813,B,C,A,,C,,,
0001003814,C,A,A,,B,,,
0001003815,B,C,B,,A,,,A
0001003816,C,C,A,,B,,,B
0001003817,C,B,B,,B,,,
0001003818,B,A,A,,B,,,A
0001003819,A,C,A,,B,,,A
0001003820,B,C,B,,B,,,
0001003821,B,A,B,,A,,,B
0001003822,B,C,A,,C,,,
0001003823,B,A,A,,B,,,
0001003824,C,A,B,,B,,,B
0001003825,B,B,B,,B,,,A
0001003826,A,A,A,,B,,,
0001003827,B,C,A,,B,,,A
0001003828,B,B,B,,C,,,A
0001003829,B,C,C,,B,,,
0001003830,C,B,A,,A,,,
0001003831,B,A,B,,B,,,B
0001003832,B,A,C,,B,,,B
0001003833,C,B,C,,C,,,B
0001003834,A,A,C,,A,,,
0001003835,C,B,B,,A,,,
0001003836,B,B,B,,B,,,
0001003837,A,C,A,,A,,,
0001003838,B,B,A,,C,,,
0001003839,B,B,A,,C,,,A
0001003840,C,A,A,,A,,,B
0001003841,A,B,B,,B,,,
0001003842,A,A,B,,B,,,
0001003843,B,C,A,,B,,,
0001003844,B,A,A,,B,,,A
0001003845,B,A,C,,A,,,
0001003846,B,C,B,,B,,,A
0001003847,C,A,B,,A,,,
0001003848,B,C,C,,C,,,
0001003849,C,C,A,,C,,,
0001003850,A,B,A,,C,,,
0001003851,A,B,B,,B,,,B
0001003852,C,B,A,,A,,,
0001003853,A,C,C,,C,,,B
0001003854,B,C,C,,B,,,
0001003855,B,B,C,,C,,,A
0001003856,C,A,B,,B,,,B
0001003857,A,A,A,,C,,,B
0001003858,B,B,A,,B,,,
0001003859,B,C,C,,B,,,
0001003860,C,C,B,,C,,,A
