Id,Name,AccountNumber,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,Rating,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
00100010201,"Walton, Saunders and Sparks",ACC-010201,Competitor,Technology,1322966.82,1,7784 Pacheco Plains,Port Anthonychester,FM,16116,USA,(875)467-7002x8427,www.baldwin-freeman.com,Warm,0050011,2022-10-19 17:21:13,2023-02-06 17:21:13,False
00100010202,"Leonard, Keller and Jennings",ACC-010202,Prospect,Technology,21417013.92,805,8280 Baker Ramp Suite 954,Bryanshire,AZ,17304,USA,(259)505-6165x565,www.young.org,Hot,0050012,2022-12-23 17:21:13,2023-05-08 17:21:13,False
00100010203,Lozano Inc,ACC-010203,Competitor,Energy,66107753.9,858,52085 Steven Way Suite 986,Andrewfort,OR,03415,USA,469-665-9171x35785,www.montes-harris.com,Warm,0050018,2025-01-26 17:21:13,2025-07-24 17:21:13,False
00100010204,"Lewis, Baker and Evans",ACC-010204,Customer - Direct,Manufacturing,25299176.64,178,91919 Nelson Port Suite 635,Lake Madisonhaven,AS,39810,USA,(485)936-6498x78208,www.guerrero.info,Hot,0050013,2020-11-15 17:21:13,2020-12-21 17:21:13,False
00100010205,Giles-Patel,ACC-010205,Customer - Direct,Energy,11573542.16,20,083 Ford Garden Apt. 466,Michelleland,SC,27181,USA,(644)924-9363x12303,www.castro-graham.com,Cold,0050010,2020-11-19 17:21:13,2021-03-25 17:21:13,False
00100010206,Moore and Sons,ACC-010206,Customer - Direct,Technology,4980973.72,863,4820 Casey Centers,West Carolynland,MH,53848,USA,(616)923-1981x898,www.young.com,Warm,0050009,2023-09-29 17:21:13,2024-02-22 17:21:13,False
00100010207,Collier-Mclaughlin,ACC-010207,Prospect,Media,4379722.9,421,3212 Tara Mill,Kingshire,AR,64773,USA,+1-451-758-6734,www.baldwin-underwood.com,Cold,0050015,2024-12-05 17:21:13,2025-07-18 17:21:13,False
00100010208,"Rasmussen, Obrien and Skinner",ACC-010208,Partner,Telecommunications,12028850.88,7731,348 Parker Squares,Rebeccaville,ND,31484,USA,760.864.4134x327,www.hill.info,Warm,0050003,2021-02-20 17:21:13,2021-11-26 17:21:13,False
00100010209,Mclaughlin-House,ACC-010209,Customer - Direct,Manufacturing,415337.83,51,612 Hunter Knoll Suite 985,Nealton,SD,84595,USA,(372)306-3459,www.wright.com,Cold,0050019,2021-11-14 17:21:13,2022-04-18 17:21:13,False
00100010210,"Jennings, Sparks and Flores",ACC-010210,Customer - Direct,Energy,505636.44,669,242 Marsh Flat Apt. 652,Waltershire,IN,03218,USA,2898317342,www.patterson.com,Cold,0050009,2022-05-21 17:21:13,2023-04-21 17:21:13,False
00100010211,Valentine Inc,ACC-010211,Customer - Channel,Financial Services,1197191.04,226,867 Wilson Station,East Sophia,GU,35392,USA,476-226-3934x3626,www.cherry-young.info,Hot,0050001,2022-11-06 17:21:13,2022-11-11 17:21:13,False
00100010212,Wood Ltd,ACC-010212,Partner,Technology,7264036.65,541,07256 Jennifer Station Suite 941,New Brianmouth,IA,62227,USA,(499)200-4896x465,www.white.com,Cold,0050005,2022-01-26 17:21:13,2022-11-06 17:21:13,False
00100010213,Anderson-Stewart,ACC-010213,Customer - Direct,Healthcare,1626562707.75,297,41502 Savage Village Suite 564,Chloeview,NC,41527,USA,(925)672-8703x20320,www.mccarthy.com,Warm,0050009,2024-02-19 17:21:13,2025-01-24 17:21:13,False
00100010214,Williams-Kelly,ACC-010214,Customer - Channel,Retail,75332184.77,6,7121 Davis Ways Suite 228,Annashire,IL,76987,USA,7892261371,www.maldonado-becker.biz,Warm,0050004,2025-03-26 17:21:13,2025-06-03 17:21:13,False
00100010215,Garza-Bean,ACC-010215,Customer - Channel,Financial Services,16207691.7,212,01777 Wheeler Avenue Suite 097,Staceyshire,DC,28205,USA,8456018961,www.allen.com,Warm,0050013,2024-05-01 17:21:13,2024-06-30 17:21:13,False
00100010216,Phelps and Sons,ACC-010216,Customer - Channel,Retail,935535.71,327,4214 Owen Street Suite 925,Port Michaelborough,NM,58886,USA,(374)299-6165x9266,www.peterson.com,Cold,0050016,2020-10-28 17:21:13,2020-12-22 17:21:13,False
00100010217,Rose-Holland,ACC-010217,Prospect,Manufacturing,6246927.21,82,7617 Hernandez Crossroad,Mckenziehaven,NE,39230,USA,001-808-310-8186,www.guerrero-carroll.com,Warm,0050015,2021-08-26 17:21:13,2022-06-06 17:21:13,False
00100010218,Scott-Miller,ACC-010218,Prospect,Telecommunications,32525384.4,4,72260 Robert Squares,Leemouth,WV,88353,USA,294.252.3219x416,www.wilson-jackson.info,Hot,0050002,2024-12-10 17:21:13,2025-04-29 17:21:13,False
00100010219,Holt-Melton,ACC-010219,Partner,Retail,29962012.9,36,9956 Miller Dale Apt. 310,Port Anthony,NJ,85517,USA,(936)883-1472,www.wilson.info,Hot,0050013,2024-03-26 17:21:13,2025-01-30 17:21:13,False
00100010220,Ruiz-Heath,ACC-010220,Customer - Direct,Financial Services,70449.43,39,49605 Curtis Vista,Pettyfort,WA,76347,USA,+1-284-207-6789x973,www.ray-tran.com,Warm,0050012,2024-08-19 17:21:13,2025-02-11 17:21:13,False
00100010221,"Butler, Kennedy and Simpson",ACC-010221,Partner,Technology,260861605.0,11,6024 Taylor Mill Apt. 839,Sandramouth,DC,38956,USA,001-566-457-2934x1722,www.vasquez.info,Cold,0050011,2024-09-03 17:21:13,2025-08-21 17:21:13,False
00100010222,Young-Hawkins,ACC-010222,Prospect,Retail,64966164.8,211,4522 Lindsay Junction,Wilsonbury,DE,74161,USA,374.255.0842,www.lloyd-estes.com,Cold,0050015,2022-04-05 17:21:13,2022-08-19 17:21:13,False
00100010223,Harrington PLC,ACC-010223,Partner,Healthcare,2832860.34,137,081 Crystal Ways,West Eric,LA,93321,USA,287.512.5521x376,www.peterson-wagner.com,Warm,0050001,2022-12-24 17:21:13,2023-09-01 17:21:13,False
00100010224,Watson-Fischer,ACC-010224,Customer - Direct,Energy,4789207.47,24,328 Cobb Dam Suite 667,Sherrymouth,FL,01804,USA,001-481-215-5626x060,www.whitney.com,Warm,0050018,2024-05-28 17:21:13,2024-06-24 17:21:13,False
00100010225,Morales-Becker,ACC-010225,Competitor,Manufacturing,148906.07,406,550 Mccullough Ridge Apt. 673,Terryfurt,WI,26360,USA,610-785-6288x4318,www.moore.org,Warm,0050012,2025-04-18 17:21:13,2026-03-09 17:21:13,False
00100010226,Allen-Schroeder,ACC-010226,Customer - Channel,Telecommunications,500350.52,538,105 Sims Knoll Apt. 017,Ashleytown,NH,44931,USA,499.889.3544,www.mclaughlin.com,Warm,0050018,2023-06-10 17:21:13,2023-10-30 17:21:13,False
00100010227,Gibson-Thomas,ACC-010227,Customer - Direct,Telecommunications,938897.96,6823,1106 Thomas Mission Apt. 586,Wigginsshire,NM,83923,USA,(577)962-2827x72881,www.johnson-moore.net,Cold,0050015,2025-07-26 17:21:13,2025-07-28 17:21:13,False
00100010228,Dorsey-Wilson,ACC-010228,Prospect,Telecommunications,2948311.1,219,15940 David Inlet Suite 447,Port Douglasshire,MT,06877,USA,643-927-0185x1067,www.harrington-alvarez.org,Hot,0050018,2023-12-11 17:21:13,2024-02-16 17:21:13,False
00100010229,Gill PLC,ACC-010229,Prospect,Media,6898347.06,409,7251 Hughes Locks Suite 807,Debbieburgh,VT,03752,USA,001-248-518-1398,www.shaw-smith.net,Hot,0050014,2022-03-30 17:21:13,2022-08-12 17:21:13,False
00100010230,Rivers LLC,ACC-010230,Competitor,Technology,11727656.85,15,97189 Morales Cape,Atkinstown,MA,57781,USA,(360)485-6411,www.thomas-scott.com,Warm,0050005,2024-11-28 17:21:13,2025-07-13 17:21:13,False
00100010231,Parker Group,ACC-010231,Prospect,Manufacturing,2875460.25,286,95200 Price Island,South Patricia,KS,49720,USA,803-339-9378,www.brown-marshall.biz,Cold,0050009,2022-09-21 17:21:13,2023-09-18 17:21:13,False
00100010232,Washington Group,ACC-010232,Customer - Direct,Transportation,5985184.29,30,48913 Kevin Lodge,Millerhaven,IL,19161,USA,(682)438-6870x079,www.brown.com,Cold,0050004,2023-06-02 17:21:13,2024-03-16 17:21:13,False
00100010233,"King, Frazier and Kidd",ACC-010233,Prospect,Energy,15867763.56,67,840 Jocelyn Port,West Christopherville,MP,18805,USA,001-784-763-9855x4743,www.stevens.com,Warm,0050007,2025-10-05 17:21:13,2025-12-02 17:21:13,False
00100010234,Sloan and Sons,ACC-010234,Customer - Direct,Technology,253711.95,5,700 Robert Square,Farmerside,CO,85579,USA,+1-318-907-1569x5620,www.mayer-wallace.com,Warm,0050001,2025-05-23 17:21:13,2026-05-12 17:21:13,False
00100010235,"Smith, Campbell and Morse",ACC-010235,Customer - Direct,Technology,1783229.7,138,19433 Coffey Camp Suite 793,East Traceyfurt,DE,36853,USA,001-487-328-3999,www.anderson.org,Warm,0050008,2024-12-23 17:21:13,2025-09-29 17:21:13,False
00100010236,Ibarra Ltd,ACC-010236,Prospect,Manufacturing,36381.24,37,08948 Smith Meadow Apt. 566,Davidhaven,NH,65456,USA,(580)730-4687x506,www.beard.com,Cold,0050016,2025-08-12 17:21:13,2026-02-18 17:21:13,False
00100010237,"Coleman, Jones and Wright",ACC-010237,Partner,Retail,3910658.45,13,4110 Reynolds Burg,Marybury,CT,62573,USA,950.358.3199,www.griffin.com,Warm,0050004,2022-07-20 17:21:13,2023-04-29 17:21:13,False
00100010238,Edwards-Abbott,ACC-010238,Prospect,Telecommunications,10740247.41,817,07049 Jones Springs,New Brettfurt,MO,13061,USA,+1-363-799-0767x699,www.pace.com,Cold,0050013,2024-12-25 17:21:13,2025-08-03 17:21:13,False
00100010239,"Lee, Garcia and Larson",ACC-010239,Partner,Telecommunications,4233814.64,317,392 Kelly Orchard,Lopezberg,AS,06277,USA,4244968549,www.parker-cooper.com,Warm,0050004,2025-02-05 17:21:13,2025-02-27 17:21:13,False
00100010240,Holmes Ltd,ACC-010240,Competitor,Energy,1285129.58,63,38806 Gonzalez Flats,Port Casey,ID,88038,USA,979.259.9594x6521,www.robinson-smith.com,Warm,0050014,2024-02-01 17:21:13,2024-08-06 17:21:13,False
00100010241,"Hall, Hanson and Allen",ACC-010241,Customer - Direct,Financial Services,622901.6,205,636 Margaret Avenue Suite 015,New Dariusport,NV,25981,USA,+1-595-400-3342x3425,www.smith.com,Cold,0050002,2021-05-08 17:21:13,2021-05-29 17:21:13,False
00100010242,Decker and Sons,ACC-010242,Customer - Direct,Healthcare,3924966.03,2056,153 Bryant Land Suite 289,Johnsland,DE,19432,USA,(533)286-5596,www.matthews.com,Hot,0050012,2023-10-23 17:21:13,2024-02-08 17:21:13,False
00100010243,Wright-Soto,ACC-010243,Customer - Direct,Telecommunications,21810018.35,39,89731 Gibbs Ridges Apt. 286,Victormouth,HI,42683,USA,001-558-577-7496x903,www.roy-foster.com,Hot,0050004,2021-12-28 17:21:13,2022-05-05 17:21:13,False
00100010244,Oneal-Duncan,ACC-010244,Customer - Channel,Energy,5115717.74,2271,8121 Wallace Knoll Apt. 907,Ronaldmouth,NE,54103,USA,(375)646-0273x415,www.hunt.com,Hot,0050010,2022-01-28 17:21:13,2022-03-22 17:21:13,False
00100010245,Wilson LLC,ACC-010245,Customer - Direct,Telecommunications,5362793.61,13371,353 Wright Summit,Jamesberg,PR,99117,USA,001-484-804-4566x907,www.perez.com,Warm,0050009,2023-10-31 17:21:13,2024-08-13 17:21:13,False
00100010246,Hall-Matthews,ACC-010246,Prospect,Media,32567957.25,81,751 Singleton Meadow Suite 377,West Donberg,ME,97206,USA,6757536668,www.johnson.com,Cold,0050016,2020-11-09 17:21:13,2021-06-06 17:21:13,False
00100010247,Carroll-Lloyd,ACC-010247,Prospect,Retail,27776502.78,23,3618 Lopez Coves Suite 974,East Damonside,HI,04703,USA,001-397-902-3164x334,www.wood.com,Cold,0050007,2022-05-02 17:21:13,2022-07-21 17:21:13,False
00100010248,Heath-Jenkins,ACC-010248,Prospect,Manufacturing,1050198.63,352,28671 Friedman Way,East Monica,ME,57150,USA,001-272-499-4938x743,www.brown-ross.com,Warm,0050005,2024-06-27 17:21:13,2024-09-19 17:21:13,False
00100010249,"Murphy, Carroll and Henry",ACC-010249,Customer - Direct,Financial Services,2784229.99,1321,014 Reed Ville Suite 692,Wrightchester,NH,50919,USA,+1-829-316-0324x84137,www.jones-garcia.com,Warm,0050016,2021-04-30 17:21:13,2021-07-30 17:21:13,False
00100010250,Hayes-King,ACC-010250,Customer - Direct,Financial Services,22471496.31,12345,0176 Reese Walks,South Benjamin,KS,15532,USA,001-925-677-7118x372,www.jackson.org,Warm,0050014,2020-11-14 17:21:13,2021-06-14 17:21:13,False
00100010251,Thompson Inc,ACC-010251,Prospect,Transportation,6130378.11,147,10427 Thompson Station Apt. 837,Port Cynthiahaven,SD,87341,USA,001-716-547-0900x633,www.davis.com,Hot,0050018,2025-09-04 17:21:13,2025-12-05 17:21:13,False
00100010252,Rogers and Sons,ACC-010252,Customer - Channel,Energy,99641842.48,65,12206 Lisa Islands,New Jamie,ND,52282,USA,(913)531-5520x65063,www.barrett.org,Hot,0050014,2021-09-07 17:21:13,2022-02-25 17:21:13,False
00100010253,Williams-Mcclure,ACC-010253,Customer - Direct,Energy,127249.91,457,9718 Johnathan Court Suite 625,Lake Kathleen,UT,42177,USA,+1-571-250-9976x83890,www.blake.biz,Hot,0050008,2021-06-05 17:21:13,2022-01-02 17:21:13,False
00100010254,Harvey Inc,ACC-010254,Prospect,Healthcare,1021352.38,19,7432 Harris Camp,Lake Carly,NV,97396,USA,224-550-8640x35533,www.horton.net,Warm,0050009,2021-04-26 17:21:13,2022-04-04 17:21:13,False
00100010255,White-Soto,ACC-010255,Prospect,Technology,8769291.73,1023,1302 David Extensions,East William,NE,95526,USA,942.533.6293x449,www.huffman-olson.com,Hot,0050008,2020-12-20 17:21:13,2021-04-27 17:21:13,False
00100010256,Gray-Ruiz,ACC-010256,Partner,Manufacturing,365650.45,642,962 Smith Light Suite 149,New Jessica,KS,50367,USA,547.446.8971x527,www.smith.com,Warm,0050006,2024-04-26 17:21:13,2024-07-17 17:21:13,False
00100010257,Sullivan-Perry,ACC-010257,Customer - Direct,Manufacturing,66023.3,42,567 Davidson Radial Apt. 601,Frederickburgh,ID,57687,USA,758-275-0663x370,www.wade.com,Warm,0050004,2021-05-26 17:21:13,2022-05-21 17:21:13,False
00100010258,Wright-Lane,ACC-010258,Competitor,Transportation,1700320.66,13,11669 April Field,Martinchester,KS,91181,USA,588-869-4611x9524,www.parker.com,Warm,0050016,2025-03-17 17:21:13,2025-09-29 17:21:13,False
00100010259,Jones Ltd,ACC-010259,Customer - Direct,Media,1123749.92,8,646 Gregory Ferry Apt. 372,South Ashleyborough,HI,26838,USA,3236467912,www.gray.com,Hot,0050005,2020-12-03 17:21:13,2020-12-23 17:21:13,False
00100010260,Johnson-Young,ACC-010260,Prospect,Media,36991377.39,197,100 Walton Avenue Apt. 138,South Carrieview,NM,62528,USA,001-759-765-5553x56690,www.smith.biz,Warm,0050006,2020-12-31 17:21:13,2021-08-29 17:21:13,False
00100010261,"Houston, Buckley and Johnson",ACC-010261,Customer - Direct,Media,1138316.93,305,435 Montgomery Shoals,Robertsonborough,AL,84134,USA,905-305-7397x69156,www.cruz.net,Cold,0050006,2024-07-26 17:21:13,2024-11-06 17:21:13,False
00100010262,"Glover, Moran and Johnson",ACC-010262,Customer - Direct,Healthcare,384158.81,25,48727 Timothy Plains Apt. 332,North Ryantown,GA,43296,USA,(343)747-1287x1539,www.kent-paul.biz,Warm,0050002,2021-03-27 17:21:13,2021-11-18 17:21:13,False
00100010263,"May, Hoffman and Chase",ACC-010263,Competitor,Transportation,44908883.72,160,41411 Matthew Ramp,Lake Sheri,OK,48701,USA,(556)890-4098,www.flores-diaz.com,Warm,0050004,2023-11-08 17:21:13,2024-04-13 17:21:13,False
00100010264,"Alvarado, Garza and Rodriguez",ACC-010264,Partner,Energy,3229565.54,793,752 Hood Parks,Hernandezport,FL,98419,USA,+1-209-754-8149x73746,www.carey.com,Cold,0050005,2021-03-19 17:21:13,2021-07-14 17:21:13,False
00100010265,"Fitzgerald, Leblanc and Parsons",ACC-010265,Customer - Direct,Technology,3850288.8,121,642 Amy Junction Suite 756,Jonesport,LA,91776,USA,986.412.5904,www.taylor.com,Warm,0050010,2024-07-25 17:21:13,2024-08-07 17:21:13,False
00100010266,Robinson Ltd,ACC-010266,Partner,Energy,1586797.62,60,059 Erika Walks,South Stephanie,NE,89557,USA,(701)857-2018,www.sims.com,Cold,0050015,2022-02-11 17:21:13,2022-05-21 17:21:13,False
00100010267,Wilson Group,ACC-010267,Customer - Channel,Manufacturing,1371999.39,50,9261 Hancock Run Suite 475,North Darrylville,NM,84571,USA,+1-883-609-9974x19267,www.martinez.net,Cold,0050018,2023-07-31 17:21:13,2024-01-16 17:21:13,False
00100010268,Sullivan Ltd,ACC-010268,Prospect,Transportation,771149.38,28521,8887 April Prairie,Port Karenville,HI,79026,USA,001-320-687-5102x932,www.miller.net,Warm,0050014,2024-04-02 17:21:13,2024-05-08 17:21:13,False
00100010269,Cox-Stephens,ACC-010269,Customer - Direct,Energy,1164133.94,956,034 Sophia Path Suite 872,Nealhaven,PW,46653,USA,+1-488-531-0303x243,www.howard.com,Cold,0050006,2021-06-24 17:21:13,2021-11-14 17:21:13,False
00100010270,"Scott, James and Mckee",ACC-010270,Customer - Direct,Retail,2896341.52,18,1462 Chad Street Suite 359,South Lorraine,MD,57337,USA,(309)731-4181x8615,www.strickland-thomas.com,Warm,0050015,2023-11-05 17:21:13,2024-09-29 17:21:13,False
00100010271,Smith-Bennett,ACC-010271,Competitor,Healthcare,499483.18,111,1128 Chapman Valley,Davisstad,UT,75494,USA,884-991-0256x2588,www.anderson.com,Warm,0050011,2022-12-16 17:21:13,2023-07-09 17:21:13,False
00100010272,"Martinez, Gray and Moss",ACC-010272,Prospect,Telecommunications,2133158.4,2926,539 Mann Falls,Andersenmouth,NY,38095,USA,568-334-1465x111,www.johnston.com,Hot,0050011,2022-01-02 17:21:13,2022-10-04 17:21:13,False
00100010273,"Noble, Stokes and Smith",ACC-010273,Partner,Media,987579.98,4,827 Robertson Springs Apt. 609,Port Julie,VT,56203,USA,001-485-338-9097x283,www.franco-palmer.com,Hot,0050009,2023-12-16 17:21:13,2023-12-31 17:21:13,False
00100010274,Simpson-Jackson,ACC-010274,Partner,Financial Services,9791837.78,23,3814 Webb Greens,North Joann,OK,52093,USA,248.907.9705,www.evans-rodriguez.com,Warm,0050004,2025-03-02 17:21:13,2025-07-14 17:21:13,False
00100010275,"Lopez, Gomez and Garcia",ACC-010275,Competitor,Technology,755014.88,36,18826 Robin Avenue Apt. 437,Brooksstad,NE,24379,USA,+1-241-777-2256,www.gonzalez.biz,Hot,0050004,2024-10-24 17:21:13,2025-08-18 17:21:13,False
00100010276,Manning-Santana,ACC-010276,Customer - Channel,Telecommunications,18890270.11,570,374 Robert Plaza,Marshberg,MD,98947,USA,001-268-762-1102x25803,www.bray-mclaughlin.biz,Warm,0050003,2024-04-29 17:21:13,2024-05-19 17:21:13,False
00100010277,Roberts-Tucker,ACC-010277,Customer - Direct,Energy,9654410.89,677,92823 Wang Way Suite 363,Mccarthyville,UT,96243,USA,892.239.2312x60432,www.gonzalez.net,Cold,0050002,2025-03-16 17:21:13,2026-01-16 17:21:13,False
00100010278,Graves-Baird,ACC-010278,Customer - Direct,Retail,1096365.42,324,6708 Schneider Hollow,West Michaelstad,VT,55298,USA,650.920.0053,www.kerr-garcia.com,Warm,0050001,2023-05-19 17:21:13,2023-11-12 17:21:13,False
00100010279,Vaughan-Cox,ACC-010279,Customer - Direct,Manufacturing,299874.85,413,10825 Figueroa Lake Suite 343,Millerville,DC,83018,USA,001-691-909-3371x1895,www.ferguson.com,Hot,0050004,2021-09-23 17:21:13,2022-03-03 17:21:13,False
00100010280,Lee PLC,ACC-010280,Customer - Direct,Technology,64840.39,9146,557 Rhonda Cliff Suite 688,East Carolberg,LA,06457,USA,001-903-867-8812,www.chan.com,Cold,0050004,2023-05-15 17:21:13,2024-03-21 17:21:13,False
00100010281,Moore and Sons,ACC-010281,Partner,Manufacturing,32682.86,60,788 Turner Forges,Jeanetteside,DE,22928,USA,608.234.0242,www.whitney.com,Warm,0050006,2022-12-12 17:21:13,2023-02-10 17:21:13,False
00100010282,Wong Ltd,ACC-010282,Customer - Direct,Technology,32109192.22,15,1842 Villanueva Hill Suite 005,Lake Tammy,HI,34053,USA,9895164983,www.adams-perkins.biz,Warm,0050001,2023-08-28 17:21:13,2024-06-19 17:21:13,False
00100010283,Griffin Ltd,ACC-010283,Partner,Media,244473243.3,44,2717 Stephen Via Apt. 397,Lake Julian,ME,21855,USA,(969)831-2163,www.ramsey.com,Warm,0050008,2024-09-30 17:21:13,2025-02-08 17:21:13,False
00100010284,"Garcia, Cruz and Rodriguez",ACC-010284,Customer - Direct,Technology,3485103.49,32,023 Joseph Road,Port Tammyville,ND,96987,USA,613-327-9724x57230,www.bryan.net,Hot,0050012,2025-07-26 17:21:13,2026-07-24 17:21:13,False
00100010285,Garcia-Tanner,ACC-010285,Customer - Channel,Retail,15968247.25,1729,03036 Hernandez Shoal Suite 361,Jacksonville,IN,13835,USA,751-495-1510x9226,www.coleman.org,Cold,0050003,2023-05-15 17:21:13,2023-05-16 17:21:13,False
00100010286,Bailey-Garcia,ACC-010286,Customer - Direct,Retail,25139.5,215,541 Michelle Drive Apt. 526,Griffithfort,GU,09323,USA,896-742-1522,www.snyder-olson.biz,Warm,0050004,2022-11-25 17:21:13,2023-08-28 17:21:13,False
00100010287,"Leon, Cook and Pham",ACC-010287,Customer - Direct,Financial Services,402792.99,434,6878 Patel View,South Christopher,VT,55792,USA,293.713.5030x58721,www.allison-delacruz.com,Hot,0050005,2021-12-18 17:21:13,2022-11-27 17:21:13,False
00100010288,Stevens-Conley,ACC-010288,Customer - Channel,Energy,684589.7,861,33021 Nicholas Burg Suite 501,South Maryburgh,AK,19753,USA,(621)931-0962x272,www.sharp-wallace.com,Hot,0050016,2024-09-16 17:21:13,2025-03-22 17:21:13,False
00100010289,Rodriguez-Brown,ACC-010289,Competitor,Media,11009424.11,2043,282 Randy Manors,Spencerview,PW,75482,USA,543.862.4186x23690,www.carson.org,Warm,0050018,2023-05-25 17:21:13,2023-06-30 17:21:13,False
00100010290,Velasquez Group,ACC-010290,Customer - Direct,Healthcare,46566328.97,451,6620 Lucas Fields Suite 111,Carriemouth,AK,31896,USA,528-611-3904x3830,www.davila.com,Warm,0050018,2022-02-02 17:21:13,2022-07-22 17:21:13,False
00100010291,"Downs, Webb and Williams",ACC-010291,Customer - Direct,Healthcare,60082992.94,5423,0546 Leonard Lock,Terriville,MA,53884,USA,001-481-982-0967x9042,www.mcclure.com,Cold,0050002,2022-04-27 17:21:13,2022-10-05 17:21:13,False
00100010292,Aguirre Ltd,ACC-010292,Customer - Direct,Technology,404489.72,2,288 West Curve,Kellychester,AZ,93924,USA,001-363-939-9129x71024,www.gibson.com,Warm,0050018,2022-02-04 17:21:13,2022-04-09 17:21:13,False
00100010293,Jones PLC,ACC-010293,Competitor,Healthcare,2100094.19,85,1127 Andersen Glens Suite 219,Williamsport,MO,54113,USA,+1-627-258-9551x687,www.madden.net,Cold,0050003,2021-10-11 17:21:13,2022-03-14 17:21:13,False
00100010294,Moore Inc,ACC-010294,Prospect,Telecommunications,1623417.0,445,2961 Paul Mountain Apt. 577,Rodriguezburgh,VA,14702,USA,(663)965-1559x7371,www.gardner.com,Warm,0050013,2022-12-21 17:21:13,2023-05-29 17:21:13,False
00100010295,"Lewis, Carroll and Huerta",ACC-010295,Customer - Direct,Media,6885934.56,3634,56730 Miranda Trace Suite 442,East Chadfurt,CO,39604,USA,001-476-583-4201x654,www.mcmahon-olson.net,Hot,0050011,2022-01-28 17:21:13,2022-08-26 17:21:13,False
00100010296,"Bowers, Sheppard and Kim",ACC-010296,Customer - Direct,Energy,7270792.87,40,89319 Mario View Suite 027,South Michelle,DE,88836,USA,(448)807-2791x03368,www.bailey.org,Cold,0050015,2023-12-26 17:21:13,2024-07-20 17:21:13,False
00100010297,Wood LLC,ACC-010297,Customer - Channel,Media,466260.94,4,4817 Gutierrez Knoll,Mariachester,NC,44518,USA,827-865-2892,www.bruce-barker.biz,Cold,0050001,2021-11-27 17:21:13,2022-04-28 17:21:13,False
00100010298,"Campbell, Oliver and Buckley",ACC-010298,Customer - Channel,Energy,122393284.01,516,11096 Tyler Terrace,Lake Seanshire,AS,04778,USA,+1-846-833-7861x37157,www.ayers.net,Cold,0050015,2022-09-15 17:21:13,2022-11-20 17:21:13,False
00100010299,Adams-Hopkins,ACC-010299,Partner,Retail,2478311.48,12,3060 Anthony Turnpike Suite 895,Georgeshire,NE,32198,USA,+1-863-496-0962,www.strong-holmes.biz,Hot,0050001,2024-09-27 17:21:13,2025-05-01 17:21:13,False
00100010300,Garcia and Sons,ACC-010300,Prospect,Financial Services,42967945.73,63,964 Stacy Ford,North Anthonytown,SC,78264,USA,(909)781-9602,www.allen.com,Warm,0050010,2022-02-01 17:21:13,2022-08-15 17:21:13,False
00100010301,Nichols and Sons,ACC-010301,Prospect,Telecommunications,71775374.91,982,0412 Danielle Prairie Apt. 179,North Donaldview,MH,24176,USA,817-353-6170,www.chung-jones.biz,Warm,0050009,2022-01-06 17:21:13,2022-04-06 17:21:13,False
00100010302,Preston-Schultz,ACC-010302,Prospect,Energy,5188041.8,238,24029 David Junctions Suite 799,East Aimeeview,DE,25777,USA,+1-708-408-8235x130,www.miller.com,Cold,0050014,2022-05-13 17:21:13,2023-03-01 17:21:13,False
00100010303,Hill-Gonzalez,ACC-010303,Customer - Direct,Manufacturing,15365963.93,1400,8477 Hunt Locks,West Gerald,TX,94531,USA,661-799-4237x676,www.rodriguez.com,Cold,0050006,2024-02-16 17:21:13,2024-09-11 17:21:13,False
00100010304,Hurst-Weiss,ACC-010304,Partner,Retail,1839157.16,22,08496 Munoz Wells Suite 601,Port Marcus,WY,24869,USA,(731)535-5251x050,www.bradley-morris.com,Warm,0050010,2022-09-28 17:21:13,2022-09-29 17:21:13,False
00100010305,"Jones, Campbell and Lewis",ACC-010305,Partner,Financial Services,7187284.25,25,84919 Fleming Mews,Lisaborough,ID,07010,USA,570.246.1172x9596,www.smith-logan.org,Hot,0050007,2024-02-10 17:21:13,2024-07-06 17:21:13,False
00100010306,Buck LLC,ACC-010306,Customer - Direct,Energy,1486652.15,65,0880 Newman Cliff,Davischester,VA,39953,USA,955-961-8579x064,www.coffey.org,Warm,0050017,2024-08-20 17:21:13,2025-03-29 17:21:13,False
00100010307,Johnson Inc,ACC-010307,Prospect,Healthcare,117777972.56,174,15632 James Valleys,Lisaside,AL,90710,USA,8406104145,www.jackson.com,Hot,0050004,2021-05-29 17:21:13,2022-03-22 17:21:13,False
00100010308,Atkins-Mullins,ACC-010308,Customer - Direct,Media,25345836.95,485,718 Becky Shore Suite 457,North Joseph,LA,93743,USA,558-233-1170,www.robinson.com,Warm,0050019,2022-05-31 17:21:13,2023-05-02 17:21:13,False
00100010309,Clark-Garza,ACC-010309,Customer - Channel,Financial Services,2325930.55,59,7281 Jeffery Lakes Suite 798,Port Ricardo,CA,36917,USA,(224)991-2711x30724,www.schmidt.net,Cold,0050006,2024-01-04 17:21:13,2024-08-30 17:21:13,False
00100010310,Gomez and Sons,ACC-010310,Customer - Direct,Healthcare,12744.74,736,8685 Scott Land,North Deborahchester,ID,39036,USA,862.394.8978,www.williams.com,Hot,0050017,2023-05-04 17:21:13,2023-12-17 17:21:13,False
