VBELN,ERDAT,ERZET,ERNAM,AEDAT,AUDAT,VBTYP,AUART,VKORG,VTWEG,SPART,KUNNR,VKBUR,VKGRP,NETWR,WAERK,GBSTK,ABSTK,LIFSK,FAKSK
0001002957,20251001,090834,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000100114,10001,001,0,USD,C,,,
0001002958,20251001,101939,SALESUSER,,20251001,C,OR,1000,30,01,0000101730,10001,001,0,USD,A,,,
0001002959,20251001,101436,SALESUSER,,20251001,C,OR,1000,20,00,0000104254,10001,001,0,USD,A,,,01
0001002960,20251001,104741,SALESUSER,,20251001,C,OR,1000,20,00,0000100295,10001,001,0,USD,A,,,
0001002961,20251001,105240,SALESUSER,,20251001,C,OR,1000,10,02,0000101142,10001,001,0,USD,A,,,
0001002962,20251001,103232,SALESUSER,20251001,20251001,C,OR,1000,20,01,0000101916,10001,001,0,USD,B,,01,
0001002963,20251001,100510,SALESUSER,20251001,20251001,C,OR,3000,10,00,0000104131,30001,001,0,EUR,A,,,
0001002964,20251001,100959,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000101219,10001,001,0,USD,A,,01,
0001002965,20251001,100323,SALESUSER,,20251001,C,OR,1000,30,01,0000104916,10001,001,0,USD,B,,,01
0001002966,20251001,104437,SALESUSER,,20251001,C,OR,2000,10,01,0000104840,20001,001,0,EUR,C,,,
0001002967,20251001,100214,SALESUSER,,20251001,C,ZOR,2000,10,00,0000102310,20001,001,0,EUR,C,,01,
0001002968,20251001,105136,SALESUSER,,20251001,C,OR,1000,10,00,0000104026,10001,001,0,USD,B,,,
0001002969,20251001,104038,SALESUSER,,20251001,C,OR,3000,10,00,0000101968,30001,001,0,EUR,B,,01,
0001002970,20251001,101948,SALESUSER,,20251001,C,ZOR,1000,20,00,0000100785,10001,001,0,USD,A,,,
0001002971,20251001,103421,SALESUSER,,20251001,C,OR,1000,10,02,0000104339,10001,001,0,USD,A,,,
0001002972,20251001,101412,SALESUSER,,20251001,C,OR,2000,30,00,0000100307,20001,001,0,EUR,A,,,
0001002973,20251001,104501,SALESUSER,20251001,20251001,C,QT,3000,10,01,0000103941,30001,001,0,EUR,B,,,
0001002974,20251001,100828,SALESUSER,,20251001,C,OR,1000,20,00,0000103400,10001,001,0,USD,B,,,
0001002975,20251001,101900,SALESUSER,,20251001,C,OR,1000,20,00,0000102009,10001,001,0,USD,B,,,
0001002976,20251001,104156,SALESUSER,,20251001,C,OR,1000,10,00,0000104861,10001,001,0,USD,B,,,
0001002977,20251001,102018,SALESUSER,,20251001,C,ZOR,3000,10,01,0000102634,30001,001,0,EUR,A,,,
0001002978,20251001,104434,SALESUSER,,20251001,C,OR,2000,20,01,0000100417,20001,001,0,EUR,A,,,
0001002979,20251001,103731,SALESUSER,,20251001,C,OR,1000,30,00,0000100545,10001,001,0,USD,A,,,
0001002980,20251001,104544,SALESUSER,,20251001,C,OR,2000,10,01,0000102705,20001,001,0,EUR,A,,,
0001002981,20251001,104652,SALESUSER,,20251001,C,OR,3000,30,00,0000102861,30001,001,0,EUR,A,,,
0001002982,20251001,100713,SALESUSER,20251001,20251001,C,QT,2000,10,01,0000103430,20001,001,0,EUR,C,,,
0001002983,20251001,101206,SALESUSER,,20251001,C,OR,1000,20,00,0000102837,10001,001,0,USD,B,,,01
0001002984,20251001,102948,SALESUSER,20251001,20251001,C,OR,1000,20,00,0000100881,10001,001,0,USD,B,,,01
0001002985,20251001,101517,SALESUSER,,20251001,C,QT,2000,10,01,0000104250,20001,001,0,EUR,B,,,
0001002986,20251001,101533,SALESUSER,20251001,20251001,C,OR,1000,30,01,0000102027,10001,001,0,USD,A,,,
0001002987,20251001,104352,SALESUSER,,20251001,C,OR,2000,20,00,0000101020,20001,001,0,EUR,B,,,
0001002988,20251001,104246,SALESUSER,20251001,20251001,C,OR,3000,20,00,0000104052,30001,001,0,EUR,A,,,
0001002989,20251001,100908,SALESUSER,,20251001,C,OR,1000,10,02,0000104506,10001,001,0,USD,B,,01,
0001002990,20251001,101730,SALESUSER,20251001,20251001,C,ZOR,1000,20,02,0000100705,10001,001,0,USD,A,,01,
0001002991,20251001,103333,SALESUSER,,20251001,C,OR,1000,20,01,0000103347,10001,001,0,USD,B,,,
0001002992,20251001,105015,SALESUSER,,20251001,C,OR,2000,10,02,0000101955,20001,001,0,EUR,A,,,
0001002993,20251001,102745,SALESUSER,20251001,20251001,C,OR,2000,10,02,0000101833,20001,001,0,EUR,A,,01,
0001002994,20251001,104148,SALESUSER,,20251001,C,OR,1000,10,01,0000102464,10001,001,0,USD,C,,,
0001002995,20251001,100129,SALESUSER,20251001,20251001,C,OR,1000,30,00,0000103513,10001,001,0,USD,C,,,
0001002996,20251001,103718,SALESUSER,20251001,20251001,C,OR,2000,10,00,0000104210,20001,001,0,EUR,A,,,
0001002997,20251001,104309,SALESUSER,,20251001,C,OR,1000,20,00,0000102899,10001,001,0,USD,C,,,01
0001002998,20251001,101926,SALESUSER,,20251001,C,ZOR,2000,20,01,0000102096,20001,001,0,EUR,A,,,
0001002999,20251001,112809,SALESUSER,20251001,20251001,C,OR,1000,10,02,0000102649,10001,001,0,USD,C,,,
0001003000,20251001,110245,SALESUSER,,20251001,C,OR,1000,30,02,0000101194,10001,001,0,USD,C,,,
0001003001,20251001,113610,SALESUSER,,20251001,C,OR,2000,30,01,0000103340,20001,001,0,EUR,B,,,
0001003002,20251001,113727,SALESUSER,20251001,20251001,C,ZOR,1000,30,00,0000100320,10001,001,0,USD,B,,,01
0001003003,20251001,112545,SALESUSER,,20251001,C,OR,3000,20,01,0000101410,30001,001,0,EUR,B,,,
0001003004,20251001,111647,SALESUSER,20251001,20251001,C,ZOR,2000,30,00,0000103629,20001,001,0,EUR,B,,01,
0001003005,20251001,115043,SALESUSER,,20251001,C,ZOR,3000,20,00,0000104483,30001,001,0,EUR,A,,,
0001003006,20251001,113802,SALESUSER,,20251001,C,ZOR,1000,30,01,0000104246,10001,001,0,USD,B,,,
0001003007,20251001,113815,SALESUSER,,20251001,C,OR,1000,10,01,0000100042,10001,001,0,USD,C,,01,
0001003008,20251001,110649,SALESUSER,,20251001,C,OR,1000,10,00,0000101756,10001,001,0,USD,B,,,
0001003009,20251001,112956,SALESUSER,,20251001,C,QT,3000,20,02,0000103315,30001,001,0,EUR,B,,,
0001003010,20251001,114033,SALESUSER,20251001,20251001,C,OR,1000,30,01,0000100491,10001,001,0,USD,A,,,
0001003011,20251001,114714,SALESUSER,,20251001,C,OR,3000,10,00,0000101876,30001,001,0,EUR,B,,,
0001003012,20251001,115215,SALESUSER,,20251001,C,OR,1000,10,00,0000100009,10001,001,0,USD,A,,,
0001003013,20251001,111710,SALESUSER,,20251001,C,ZOR,1000,10,00,0000102967,10001,001,0,USD,A,,,
0001003014,20251001,113848,SALESUSER,20251001,20251001,C,OR,1000,10,02,0000101374,10001,001,0,USD,C,,,
0001003015,20251001,113306,SALESUSER,,20251001,C,OR,1000,10,00,0000100936,10001,001,0,USD,A,,,
0001003016,20251001,110847,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000100053,10001,001,0,USD,A,,,
0001003017,20251001,115617,SALESUSER,,20251001,C,OR,2000,10,00,0000100104,20001,001,0,EUR,C,,,
0001003018,20251001,115900,SALESUSER,,20251001,C,OR,1000,20,01,0000102875,10001,001,0,USD,C,,01,
0001003019,20251001,112917,SALESUSER,20251001,20251001,C,OR,2000,10,01,0000104221,20001,001,0,EUR,C,,,
0001003020,20251001,111157,SALESUSER,,20251001,C,OR,1000,10,02,0000101853,10001,001,0,USD,A,,,
0001003021,20251001,115145,SALESUSER,,20251001,C,ZOR,2000,10,00,0000102891,20001,001,0,EUR,B,,,01
0001003022,20251001,113120,SALESUSER,,20251001,C,OR,2000,30,01,0000104155,20001,001,0,EUR,A,,,
0001003023,20251001,114248,SALESUSER,,20251001,C,OR,1000,30,00,0000102095,10001,001,0,USD,C,,,
0001003024,20251001,112017,SALESUSER,,20251001,C,OR,2000,10,01,0000103802,20001,001,0,EUR,C,,,01
0001003025,20251001,113851,SALESUSER,,20251001,C,QT,1000,30,00,0000103261,10001,001,0,USD,B,,,
0001003026,20251001,115008,SALESUSER,,20251001,C,QT,1000,30,00,0000103935,10001,001,0,USD,C,,,
0001003027,20251001,112021,SALESUSER,,20251001,C,OR,1000,30,01,0000103017,10001,001,0,USD,C,,,
0001003028,20251001,115544,SALESUSER,,20251001,C,ZOR,1000,10,01,0000102210,10001,001,0,USD,C,,,
0001003029,20251001,112209,SALESUSER,20251001,20251001,C,ZOR,1000,10,00,0000102378,10001,001,0,USD,C,,,
0001003030,20251001,114816,SALESUSER,,20251001,C,OR,1000,10,00,0000103447,10001,001,0,USD,A,,,
0001003031,20251001,111507,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000100145,10001,001,0,USD,A,,,
0001003032,20251001,113940,SALESUSER,20251001,20251001,C,QT,1000,20,01,0000104134,10001,001,0,USD,A,,,
0001003033,20251001,115801,SALESUSER,,20251001,C,ZOR,1000,20,00,0000100359,10001,001,0,USD,B,,,
0001003034,20251001,111952,SALESUSER,,20251001,C,QT,1000,20,02,0000102791,10001,001,0,USD,B,,,01
0001003035,20251001,114904,SALESUSER,,20251001,C,OR,2000,10,01,0000104433,20001,001,0,EUR,B,,,
0001003036,20251001,123214,SALESUSER,,20251001,C,OR,1000,20,02,0000103773,10001,001,0,USD,C,,01,
0001003037,20251001,122625,SALESUSER,20251001,20251001,C,OR,1000,30,01,0000103097,10001,001,0,USD,A,,,
0001003038,20251001,125017,SALESUSER,,20251001,C,OR,1000,30,01,0000103803,10001,001,0,USD,C,,,
0001003039,20251001,120245,SALESUSER,,20251001,C,OR,1000,20,01,0000104009,10001,001,0,USD,B,,01,
0001003040,20251001,125250,SALESUSER,,20251001,C,QT,1000,10,00,0000104855,10001,001,0,USD,C,,,
0001003041,20251001,125728,SALESUSER,20251001,20251001,C,OR,2000,20,00,0000104147,20001,001,0,EUR,B,,,
0001003042,20251001,120343,SALESUSER,,20251001,C,OR,1000,30,00,0000100496,10001,001,0,USD,B,,,
0001003043,20251001,120005,SALESUSER,,20251001,C,ZOR,3000,10,00,0000100294,30001,001,0,EUR,B,,,
0001003044,20251001,124503,SALESUSER,,20251001,C,OR,2000,30,00,0000104531,20001,001,0,EUR,B,,,
0001003045,20251001,123014,SALESUSER,,20251001,C,OR,1000,30,00,0000102305,10001,001,0,USD,B,,01,
0001003046,20251001,120638,SALESUSER,,20251001,C,OR,2000,30,00,0000103461,20001,001,0,EUR,A,,,
0001003047,20251001,123344,SALESUSER,20251001,20251001,C,ZOR,2000,10,00,0000104350,20001,001,0,EUR,A,,,
0001003048,20251001,123607,SALESUSER,,20251001,C,OR,1000,10,02,0000102068,10001,001,0,USD,B,,,
0001003049,20251001,120344,SALESUSER,20251001,20251001,C,ZOR,3000,10,01,0000102992,30001,001,0,EUR,A,,,
0001003050,20251001,121748,SALESUSER,,20251001,C,QT,1000,20,00,0000104960,10001,001,0,USD,B,,,
0001003051,20251001,123700,SALESUSER,,20251001,C,OR,1000,20,00,0000103953,10001,001,0,USD,A,,,
0001003052,20251001,122747,SALESUSER,,20251001,C,QT,2000,20,00,0000102145,20001,001,0,EUR,B,,,
0001003053,20251001,122636,SALESUSER,20251001,20251001,C,OR,1000,20,00,0000101555,10001,001,0,USD,A,,,01
0001003054,20251001,121840,SALESUSER,,20251001,C,ZOR,3000,10,02,0000103927,30001,001,0,EUR,C,,,
0001003055,20251001,125530,SALESUSER,20251001,20251001,C,OR,1000,30,01,0000101184,10001,001,0,USD,C,,,
0001003056,20251001,124233,SALESUSER,,20251001,C,OR,1000,10,01,0000102209,10001,001,0,USD,B,,,
0001003057,20251001,125435,SALESUSER,,20251001,C,ZOR,2000,10,00,0000101218,20001,001,0,EUR,A,,,
0001003058,20251001,122206,SALESUSER,,20251001,C,OR,1000,10,01,0000101276,10001,001,0,USD,C,,,01
0001003059,20251001,123338,SALESUSER,,20251001,C,OR,2000,30,00,0000103966,20001,001,0,EUR,B,,,
0001003060,20251001,121121,SALESUSER,,20251001,C,OR,2000,20,01,0000103971,20001,001,0,EUR,B,,,
0001003061,20251001,123409,SALESUSER,,20251001,C,OR,2000,20,00,0000101716,20001,001,0,EUR,A,,,01
0001003062,20251001,120327,SALESUSER,,20251001,C,OR,2000,10,02,0000101295,20001,001,0,EUR,B,,,
0001003063,20251001,124249,SALESUSER,,20251001,C,OR,2000,30,02,0000100593,20001,001,0,EUR,C,,,
0001003064,20251001,120510,SALESUSER,,20251001,C,ZOR,1000,10,00,0000103980,10001,001,0,USD,B,,,
0001003065,20251001,124646,SALESUSER,,20251001,C,ZOR,1000,10,00,0000104801,10001,001,0,USD,B,,,
0001003066,20251001,123337,SALESUSER,,20251001,C,OR,1000,20,02,0000102764,10001,001,0,USD,A,,,
0001003067,20251001,125821,SALESUSER,,20251001,C,OR,1000,10,00,0000101032,10001,001,0,USD,B,,,
0001003068,20251001,122336,SALESUSER,,20251001,C,OR,1000,30,01,0000104192,10001,001,0,USD,C,,,
0001003069,20251001,124348,SALESUSER,,20251001,C,OR,2000,10,01,0000101719,20001,001,0,EUR,C,,,
0001003070,20251001,124454,SALESUSER,,20251001,C,OR,3000,10,01,0000102043,30001,001,0,EUR,A,,,
0001003071,20251001,121352,SALESUSER,,20251001,C,ZOR,1000,10,01,0000102461,10001,001,0,USD,C,,,
0001003072,20251001,121235,SALESUSER,,20251001,C,OR,1000,10,01,0000100952,10001,001,0,USD,C,,,
0001003073,20251001,124301,SALESUSER,,20251001,C,OR,2000,10,02,0000102419,20001,001,0,EUR,B,,,
0001003074,20251001,124642,SALESUSER,,20251001,C,OR,3000,10,01,0000100473,30001,001,0,EUR,A,,,01
0001003075,20251001,130759,SALESUSER,20251001,20251001,C,OR,3000,10,01,0000102971,30001,001,0,EUR,A,,,
0001003076,20251001,131442,SALESUSER,,20251001,C,OR,1000,20,02,0000103127,10001,001,0,USD,B,,,
0001003077,20251001,133633,SALESUSER,,20251001,C,OR,2000,10,00,0000103046,20001,001,0,EUR,A,,,
0001003078,20251001,135029,SALESUSER,,20251001,C,OR,1000,30,00,0000103988,10001,001,0,USD,B,,,
0001003079,20251001,132521,SALESUSER,,20251001,C,OR,2000,30,00,0000104996,20001,001,0,EUR,B,,,
0001003080,20251001,130307,SALESUSER,,20251001,C,OR,1000,10,00,0000104981,10001,001,0,USD,A,,,
0001003081,20251001,131205,SALESUSER,,20251001,C,OR,1000,30,01,0000103501,10001,001,0,USD,A,,01,
0001003082,20251001,133932,SALESUSER,20251001,20251001,C,QT,1000,30,00,0000102608,10001,001,0,USD,B,,01,
0001003083,20251001,135204,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000103399,10001,001,0,USD,B,,,
0001003084,20251001,134201,SALESUSER,,20251001,C,QT,2000,20,00,0000104349,20001,001,0,EUR,B,,,
0001003085,20251001,135823,SALESUSER,,20251001,C,OR,2000,20,02,0000102705,20001,001,0,EUR,B,,,
0001003086,20251001,135437,SALESUSER,,20251001,C,ZOR,1000,30,01,0000104695,10001,001,0,USD,A,,,
0001003087,20251001,133716,SALESUSER,,20251001,C,OR,1000,10,01,0000101560,10001,001,0,USD,A,,01,
0001003088,20251001,134459,SALESUSER,,20251001,C,OR,1000,10,00,0000101092,10001,001,0,USD,B,,,
0001003089,20251001,130117,SALESUSER,,20251001,C,QT,1000,20,02,0000104675,10001,001,0,USD,C,,,01
0001003090,20251001,132844,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000104324,10001,001,0,USD,A,,01,
0001003091,20251001,134853,SALESUSER,,20251001,C,OR,1000,10,00,0000103632,10001,001,0,USD,B,,,
0001003092,20251001,131516,SALESUSER,,20251001,C,OR,1000,20,02,0000100989,10001,001,0,USD,A,,,
0001003093,20251001,131915,SALESUSER,,20251001,C,QT,1000,10,00,0000101438,10001,001,0,USD,A,,01,
0001003094,20251001,133435,SALESUSER,,20251001,C,OR,1000,10,00,0000102143,10001,001,0,USD,C,,01,01
0001003095,20251001,132300,SALESUSER,,20251001,C,OR,1000,30,00,0000104879,10001,001,0,USD,B,,,
0001003096,20251001,132257,SALESUSER,,20251001,C,QT,1000,20,01,0000102683,10001,001,0,USD,A,,01,
0001003097,20251001,133108,SALESUSER,,20251001,C,OR,1000,10,00,0000103376,10001,001,0,USD,B,,,
0001003098,20251001,130413,SALESUSER,,20251001,C,OR,1000,10,00,0000103739,10001,001,0,USD,B,,,
0001003099,20251001,135020,SALESUSER,,20251001,C,OR,1000,10,00,0000100365,10001,001,0,USD,A,,,
0001003100,20251001,131319,SALESUSER,,20251001,C,OR,1000,10,01,0000104487,10001,001,0,USD,A,,,
0001003101,20251001,130347,SALESUSER,20251001,20251001,C,QT,2000,10,01,0000100376,20001,001,0,EUR,B,,01,
0001003102,20251001,133853,SALESUSER,,20251001,C,ZOR,2000,20,00,0000100542,20001,001,0,EUR,B,,,
0001003103,20251001,135902,SALESUSER,,20251001,C,QT,2000,30,01,0000100826,20001,001,0,EUR,A,,,
0001003104,20251001,134505,SALESUSER,,20251001,C,OR,1000,10,01,0000102366,10001,001,0,USD,C,,,01
0001003105,20251001,133422,SALESUSER,,20251001,C,ZOR,1000,10,00,0000102192,10001,001,0,USD,A,,,
0001003106,20251001,135702,SALESUSER,,20251001,C,OR,1000,30,02,0000100439,10001,001,0,USD,C,,,
0001003107,20251001,134557,SALESUSER,,20251001,C,OR,1000,10,00,0000102561,10001,001,0,USD,C,,,
0001003108,20251001,135042,SALESUSER,20251001,20251001,C,OR,1000,30,01,0000102692,10001,001,0,USD,B,,,
0001003109,20251001,131517,SALESUSER,20251001,20251001,C,ZOR,1000,30,01,0000100798,10001,001,0,USD,A,,,
0001003110,20251001,130436,SALESUSER,20251001,20251001,C,OR,1000,20,01,0000104161,10001,001,0,USD,A,,,
0001003111,20251001,133724,SALESUSER,,20251001,C,OR,1000,30,00,0000104915,10001,001,0,USD,B,,,
0001003112,20251001,135028,SALESUSER,,20251001,C,OR,3000,20,00,0000101197,30001,001,0,EUR,B,,,
0001003113,20251001,134241,SALESUSER,20251001,20251001,C,OR,2000,20,01,0000100191,20001,001,0,EUR,A,,,
0001003114,20251001,133540,SALESUSER,,20251001,C,OR,1000,10,02,0000103301,10001,001,0,USD,B,,,
0001003115,20251001,130023,SALESUSER,20251001,20251001,C,OR,1000,20,00,0000100935,10001,001,0,USD,B,,,
0001003116,20251001,135111,SALESUSER,,20251001,C,QT,1000,10,00,0000103375,10001,001,0,USD,A,,,
0001003117,20251001,140406,SALESUSER,,20251001,C,OR,3000,10,00,0000102077,30001,001,0,EUR,A,,01,
0001003118,20251001,142333,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000102707,10001,001,0,USD,A,,,
0001003119,20251001,140818,SALESUSER,20251001,20251001,C,ZOR,1000,20,00,0000103623,10001,001,0,USD,A,,,
0001003120,20251001,145640,SALESUSER,,20251001,C,OR,1000,10,01,0000103838,10001,001,0,USD,A,,01,
0001003121,20251001,142304,SALESUSER,,20251001,C,OR,3000,20,00,0000102740,30001,001,0,EUR,B,,,
0001003122,20251001,145022,SALESUSER,,20251001,C,ZOR,3000,10,01,0000104978,30001,001,0,EUR,B,,,
0001003123,20251001,140816,SALESUSER,20251001,20251001,C,OR,1000,10,01,0000100222,10001,001,0,USD,B,,,
0001003124,20251001,141828,SALESUSER,,20251001,C,ZOR,1000,10,00,0000101699,10001,001,0,USD,B,,,
0001003125,20251001,145059,SALESUSER,,20251001,C,OR,2000,30,00,0000100552,20001,001,0,EUR,A,,,
0001003126,20251001,142107,SALESUSER,,20251001,C,ZOR,1000,10,01,0000101449,10001,001,0,USD,B,,,
0001003127,20251001,144547,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000104289,10001,001,0,USD,B,,,
0001003128,20251001,140250,SALESUSER,,20251001,C,OR,1000,10,00,0000101263,10001,001,0,USD,C,,,
0001003129,20251001,141623,SALESUSER,20251001,20251001,C,QT,3000,10,01,0000102980,30001,001,0,EUR,B,,,
0001003130,20251001,142733,SALESUSER,20251001,20251001,C,OR,2000,20,01,0000103569,20001,001,0,EUR,C,,,
0001003131,20251001,143953,SALESUSER,,20251001,C,QT,1000,10,01,0000100373,10001,001,0,USD,C,,01,
0001003132,20251001,145253,SALESUSER,,20251001,C,OR,3000,10,02,0000103943,30001,001,0,EUR,B,,,
0001003133,20251001,142837,SALESUSER,,20251001,C,OR,1000,20,00,0000100995,10001,001,0,USD,C,,,
0001003134,20251001,142749,SALESUSER,,20251001,C,OR,1000,30,01,0000103890,10001,001,0,USD,A,,,
0001003135,20251001,141641,SALESUSER,,20251001,C,ZOR,2000,20,00,0000102555,20001,001,0,EUR,A,,,
0001003136,20251001,141405,SALESUSER,,20251001,C,ZOR,1000,20,00,0000102857,10001,001,0,USD,C,,,
0001003137,20251001,141939,SALESUSER,,20251001,C,OR,1000,30,00,0000104899,10001,001,0,USD,C,,,
0001003138,20251001,145939,SALESUSER,,20251001,C,OR,2000,10,00,0000103154,20001,001,0,EUR,C,,,01
0001003139,20251001,143112,SALESUSER,,20251001,C,OR,1000,10,02,0000101878,10001,001,0,USD,B,,,
0001003140,20251001,144921,SALESUSER,20251001,20251001,C,OR,1000,10,02,0000104150,10001,001,0,USD,B,,,
0001003141,20251001,141448,SALESUSER,,20251001,C,QT,2000,10,00,0000103319,20001,001,0,EUR,A,,,
0001003142,20251001,144016,SALESUSER,,20251001,C,OR,2000,30,00,0000101183,20001,001,0,EUR,A,,,
0001003143,20251001,145911,SALESUSER,,20251001,C,OR,1000,30,01,0000102858,10001,001,0,USD,B,,,
0001003144,20251001,141907,SALESUSER,,20251001,C,OR,1000,20,00,0000104102,10001,001,0,USD,B,,,
0001003145,20251001,140447,SALESUSER,20251001,20251001,C,QT,2000,10,00,0000104917,20001,001,0,EUR,A,,,
0001003146,20251001,141315,SALESUSER,,20251001,C,QT,2000,20,02,0000102979,20001,001,0,EUR,B,,,
0001003147,20251001,141202,SALESUSER,20251001,20251001,C,OR,1000,10,02,0000103720,10001,001,0,USD,A,,01,
0001003148,20251001,145602,SALESUSER,20251001,20251001,C,OR,2000,20,00,0000103482,20001,001,0,EUR,A,,,
0001003149,20251001,142402,SALESUSER,,20251001,C,OR,1000,20,02,0000100780,10001,001,0,USD,B,,,
0001003150,20251001,142101,SALESUSER,20251001,20251001,C,QT,1000,10,00,0000104624,10001,001,0,USD,B,,,
0001003151,20251001,154103,SALESUSER,,20251001,C,OR,2000,20,02,0000103881,20001,001,0,EUR,A,,01,
0001003152,20251001,152226,SALESUSER,,20251001,C,QT,1000,10,00,0000100919,10001,001,0,USD,B,,,
0001003153,20251001,154039,SALESUSER,20251001,20251001,C,ZOR,2000,10,00,0000101466,20001,001,0,EUR,A,,01,
0001003154,20251001,150026,SALESUSER,20251001,20251001,C,OR,1000,10,01,0000100030,10001,001,0,USD,A,,,
0001003155,20251001,151127,SALESUSER,20251001,20251001,C,QT,1000,20,00,0000104375,10001,001,0,USD,A,,,
0001003156,20251001,155109,SALESUSER,,20251001,C,OR,2000,10,00,0000103540,20001,001,0,EUR,A,,,
0001003157,20251001,150647,SALESUSER,,20251001,C,OR,1000,10,00,0000103526,10001,001,0,USD,C,,,
0001003158,20251001,151042,SALESUSER,20251001,20251001,C,QT,1000,20,00,0000100761,10001,001,0,USD,B,,,
0001003159,20251001,152530,SALESUSER,,20251001,C,OR,1000,20,00,0000100749,10001,001,0,USD,B,,,
0001003160,20251001,155604,SALESUSER,20251001,20251001,C,OR,1000,10,00,0000101992,10001,001,0,USD,A,,,
0001003161,20251001,152352,SALESUSER,,20251001,C,OR,1000,10,01,0000103755,10001,001,0,USD,B,,01,
0001003162,20251001,154332,SALESUSER,20251001,20251001,C,OR,1000,30,00,0000104040,10001,001,0,USD,A,,,
0001003163,20251001,154614,SALESUSER,,20251001,C,OR,1000,10,02,0000101115,10001,001,0,USD,B,,,
0001003164,20251001,154039,SALESUSER,,20251001,C,OR,1000,20,01,0000100969,10001,001,0,USD,C,,,
0001003165,20251001,150511,SALESUSER,,20251001,C,OR,2000,20,01,0000100970,20001,001,0,EUR,B,,,
0001003166,20251001,153045,SALESUSER,,20251001,C,OR,1000,30,00,0000101833,10001,001,0,USD,B,,01,
0001003167,20251001,152435,SALESUSER,,20251001,C,ZOR,2000,20,01,0000103781,20001,001,0,EUR,B,,,
0001003168,20251001,151913,SALESUSER,,20251001,C,OR,2000,30,01,0000100000,20001,001,0,EUR,C,,,
0001003169,20251001,155205,SALESUSER,,20251001,C,QT,1000,10,02,0000100630,10001,001,0,USD,B,,,
0001003170,20251001,150207,SALESUSER,,20251001,C,OR,2000,10,02,0000100517,20001,001,0,EUR,B,,,
0001003171,20251001,150033,SALESUSER,,20251001,C,QT,2000,10,00,0000100008,20001,001,0,EUR,C,,,
0001003172,20251001,154904,SALESUSER,,20251001,C,OR,2000,10,00,0000100204,20001,001,0,EUR,A,,,
0001003173,20251001,153720,SALESUSER,,20251001,C,OR,2000,10,01,0000103818,20001,001,0,EUR,A,,,
0001003174,20251001,152726,SALESUSER,,20251001,C,OR,1000,10,00,0000104152,10001,001,0,USD,B,,,
0001003175,20251001,153314,SALESUSER,20251001,20251001,C,ZOR,1000,10,02,0000102368,10001,001,0,USD,A,,,
0001003176,20251001,154542,SALESUSER,20251001,20251001,C,OR,3000,10,02,0000100540,30001,001,0,EUR,A,,,
0001003177,20251001,153927,SALESUSER,,20251001,C,OR,1000,10,01,0000103674,10001,001,0,USD,A,,,
0001003178,20251001,151621,SALESUSER,,20251001,C,QT,3000,30,00,0000100101,30001,001,0,EUR,A,,01,
0001003179,20251001,155844,SALESUSER,,20251001,C,OR,1000,10,01,0000100442,10001,001,0,USD,B,,,
0001003180,20251001,155118,SALESUSER,20251001,20251001,C,OR,1000,30,02,0000101313,10001,001,0,USD,B,,,
0001003181,20251001,153007,SALESUSER,,20251001,C,OR,1000,10,00,0000104870,10001,001,0,USD,A,,,
0001003182,20251001,152119,SALESUSER,,20251001,C,OR,1000,10,00,0000100237,10001,001,0,USD,B,,,
0001003183,20251001,154435,SALESUSER,,20251001,C,OR,1000,10,01,0000103798,10001,001,0,USD,A,,01,
0001003184,20251001,150309,SALESUSER,20251001,20251001,C,QT,3000,10,02,0000100066,30001,001,0,EUR,A,,,
0001003185,20251001,151452,SALESUSER,,20251001,C,OR,1000,10,00,0000102239,10001,001,0,USD,A,,,
0001003186,20251001,154731,SALESUSER,,20251001,C,OR,1000,20,02,0000103942,10001,001,0,USD,C,,,
0001003187,20251001,150331,SALESUSER,,20251001,C,QT,1000,10,00,0000103056,10001,001,0,USD,C,,,
0001003188,20251001,155435,SALESUSER,20251001,20251001,C,OR,1000,10,02,0000103988,10001,001,0,USD,A,,,
0001003189,20251001,150951,SALESUSER,,20251001,C,OR,1000,10,00,0000100976,10001,001,0,USD,C,,,
0001003190,20251001,155431,SALESUSER,,20251001,C,ZOR,1000,10,02,0000102600,10001,001,0,USD,C,,,
0001003191,20251001,154907,SALESUSER,,20251001,C,OR,1000,10,02,0000100940,10001,001,0,USD,A,,,
0001003192,20251001,151335,SALESUSER,20251001,20251001,C,OR,1000,10,02,0000103747,10001,001,0,USD,C,,,
0001003193,20251001,155913,SALESUSER,20251001,20251001,C,QT,1000,20,00,0000102463,10001,001,0,USD,B,,01,
0001003194,20251001,163555,SALESUSER,,20251001,C,OR,2000,20,01,0000100998,20001,001,0,EUR,B,,,
0001003195,20251001,165040,SALESUSER,20251001,20251001,C,OR,1000,20,00,0000103651,10001,001,0,USD,C,,,
0001003196,20251001,161211,SALESUSER,,20251001,C,OR,3000,30,00,0000100393,30001,001,0,EUR,B,,,
