KUNNR,VKORG,VTWEG,SPART,KDGRP,WAERS,KALKS,VSBED,LPRIO
0000100951,1000,20,00,04,USD,1,01,01
0000100952,1000,20,02,02,USD,1,02,01
0000100953,1000,10,00,02,USD,1,02,02
0000100954,1000,10,02,02,USD,1,01,01
0000100955,2000,10,01,04,USD,1,02,02
0000100955,1000,20,00,03,USD,1,01,02
0000100956,1000,20,01,02,USD,1,01,01
0000100957,3000,10,01,02,USD,1,01,01
0000100958,1000,20,01,01,USD,1,01,01
0000100959,1000,30,00,01,USD,1,02,01
0000100959,2000,20,00,01,USD,1,01,02
0000100960,1000,30,02,01,USD,1,01,02
0000100961,1000,10,02,01,USD,1,02,02
0000100962,1000,10,00,02,USD,1,02,01
0000100962,1000,30,00,01,USD,1,02,02
0000100963,1000,10,00,02,USD,1,01,01
0000100964,2000,30,00,01,USD,1,02,02
0000100964,1000,30,01,01,USD,1,02,02
0000100965,1000,30,00,04,USD,1,01,02
0000100966,1000,10,00,01,USD,1,01,01
0000100967,1000,20,00,02,USD,1,02,01
0000100967,3000,10,00,02,USD,1,01,02
0000100967,2000,20,00,04,USD,1,02,01
0000100968,1000,10,00,02,USD,1,01,01
0000100969,2000,10,00,04,USD,1,02,02
0000100970,1000,30,02,02,USD,1,02,02
0000100971,2000,30,00,01,USD,1,01,01
0000100971,1000,20,00,01,USD,1,02,01
0000100971,1000,10,02,02,USD,1,02,01
0000100972,1000,10,02,02,USD,1,02,01
0000100973,3000,20,00,02,USD,1,01,01
0000100974,1000,20,00,01,USD,1,02,02
0000100975,2000,20,02,01,USD,1,02,01
0000100976,1000,10,00,02,USD,1,01,01
0000100977,1000,10,01,01,USD,1,02,01
0000100978,1000,30,01,03,USD,1,02,02
0000100979,1000,10,01,04,USD,1,02,02
0000100980,3000,10,01,02,USD,1,01,02
0000100981,2000,30,00,04,USD,1,02,02
0000100982,2000,10,00,04,USD,1,01,01
0000100983,1000,20,00,04,USD,1,02,01
0000100984,2000,20,00,04,USD,1,02,02
0000100985,1000,10,00,02,USD,1,02,02
0000100986,1000,20,00,03,USD,1,02,02
0000100986,3000,10,01,02,USD,1,01,02
0000100987,1000,10,00,01,USD,1,01,02
0000100988,2000,10,01,04,USD,1,01,01
0000100988,2000,10,01,01,USD,1,01,01
0000100989,2000,30,01,04,USD,1,01,02
0000100990,2000,20,00,01,USD,1,02,01
0000100991,2000,30,00,03,USD,1,01,01
0000100992,3000,20,00,03,USD,1,02,02
0000100993,1000,20,02,03,USD,1,02,02
0000100994,1000,30,00,04,USD,1,02,01
0000100995,1000,30,01,04,USD,1,02,01
0000100996,2000,10,00,04,USD,1,02,02
0000100997,1000,10,02,02,USD,1,02,02
0000100998,2000,10,01,02,USD,1,01,02
0000100999,2000,10,00,02,USD,1,02,01
0000101000,2000,20,00,04,USD,1,02,02
0000101001,1000,20,00,03,USD,1,01,01
0000101001,2000,10,00,03,USD,1,01,01
0000101002,1000,20,02,03,USD,1,02,02
0000101003,2000,10,00,02,USD,1,01,01
0000101004,2000,20,01,01,USD,1,01,02
0000101005,2000,10,00,01,USD,1,01,02
0000101005,2000,30,02,04,USD,1,02,01
0000101006,1000,10,01,01,USD,1,02,02
0000101007,1000,10,00,02,USD,1,01,02
0000101008,2000,30,00,01,USD,1,01,01
0000101009,1000,10,00,03,USD,1,02,02
0000101009,1000,10,02,01,USD,1,02,01
0000101010,1000,20,00,03,USD,1,01,02
0000101011,1000,10,00,02,USD,1,02,01
0000101011,2000,10,00,01,USD,1,01,01
0000101011,1000,30,00,03,USD,1,02,01
0000101012,1000,20,00,03,USD,1,02,01
0000101013,2000,10,00,03,USD,1,02,01
0000101014,2000,10,02,02,USD,1,01,02
0000101015,2000,30,00,03,USD,1,02,01
0000101016,1000,10,01,03,USD,1,01,01
0000101017,3000,20,00,03,USD,1,01,01
0000101018,1000,20,00,02,USD,1,02,01
0000101019,1000,20,01,04,USD,1,02,01
0000101019,1000,10,01,04,USD,1,02,01
0000101019,1000,10,01,04,USD,1,01,01
0000101020,1000,30,01,04,USD,1,01,01
0000101020,1000,20,00,02,USD,1,01,01
0000101020,2000,30,01,04,USD,1,02,01
0000101021,2000,10,00,02,USD,1,01,01
0000101021,3000,20,02,04,USD,1,01,02
0000101022,2000,10,00,02,USD,1,01,01
0000101023,1000,20,01,04,USD,1,01,01
0000101023,2000,30,02,04,USD,1,02,02
0000101023,1000,20,00,01,USD,1,02,01
0000101024,2000,20,02,02,USD,1,02,02
0000101025,2000,30,01,02,USD,1,01,02
0000101025,1000,20,02,01,USD,1,02,01
0000101026,3000,10,00,03,USD,1,01,01
0000101026,2000,20,00,01,USD,1,01,01
0000101026,2000,10,00,04,USD,1,02,02
0000101027,1000,20,00,04,USD,1,02,02
0000101028,1000,20,00,01,USD,1,02,01
0000101028,2000,10,00,04,USD,1,01,02
0000101029,2000,20,00,02,USD,1,02,02
0000101029,1000,30,01,03,USD,1,02,02
0000101030,3000,10,02,02,USD,1,01,01
0000101030,3000,10,02,01,USD,1,01,02
0000101031,2000,10,00,03,USD,1,02,02
0000101032,2000,30,02,01,USD,1,01,02
0000101033,1000,30,01,02,USD,1,01,01
0000101034,3000,30,00,02,USD,1,02,02
0000101035,1000,30,01,03,USD,1,01,01
0000101036,3000,30,02,03,USD,1,02,01
0000101037,2000,10,01,03,USD,1,01,02
0000101038,2000,10,00,01,USD,1,02,02
0000101039,1000,10,01,04,USD,1,01,02
0000101039,1000,30,00,04,USD,1,02,02
0000101039,3000,10,01,01,USD,1,01,02
0000101040,1000,10,00,01,USD,1,02,02
0000101041,2000,10,01,03,USD,1,01,02
0000101041,1000,10,01,04,USD,1,01,02
0000101042,1000,10,00,03,USD,1,02,01
0000101042,1000,10,00,04,USD,1,01,02
0000101042,2000,30,02,04,USD,1,01,01
0000101043,3000,10,02,04,USD,1,01,01
0000101043,1000,10,00,03,USD,1,01,01
0000101044,1000,20,02,03,USD,1,02,01
0000101044,1000,20,02,03,USD,1,01,02
0000101045,1000,10,00,04,USD,1,01,02
0000101045,1000,20,01,04,USD,1,02,02
0000101045,2000,10,02,01,USD,1,01,01
0000101046,2000,10,01,02,USD,1,02,01
0000101046,2000,10,01,01,USD,1,02,02
0000101046,2000,10,02,03,USD,1,02,01
0000101047,1000,20,02,02,USD,1,01,02
0000101048,3000,20,02,04,USD,1,01,02
0000101048,2000,10,00,03,USD,1,01,02
0000101049,2000,20,02,04,USD,1,01,01
0000101050,1000,10,00,04,USD,1,02,02
0000101051,3000,30,00,03,USD,1,01,01
0000101052,1000,20,00,01,USD,1,02,01
0000101052,1000,10,01,02,USD,1,02,02
0000101052,1000,20,00,02,USD,1,01,01
0000101053,1000,10,01,04,USD,1,02,01
0000101054,1000,20,02,04,USD,1,01,02
0000101055,2000,10,00,01,USD,1,01,01
0000101056,2000,30,02,04,USD,1,01,01
0000101057,3000,20,01,01,USD,1,01,02
0000101057,1000,20,00,01,USD,1,02,01
0000101058,3000,20,00,04,USD,1,01,02
0000101058,2000,30,02,02,USD,1,01,01
0000101059,2000,30,00,04,USD,1,02,02
0000101060,1000,30,00,02,USD,1,02,01
0000101061,1000,20,02,01,USD,1,01,01
0000101062,1000,20,02,02,USD,1,01,01
0000101063,1000,10,01,02,USD,1,02,01
0000101063,2000,10,02,01,USD,1,01,01
0000101063,1000,20,00,04,USD,1,02,02
0000101064,1000,10,02,01,USD,1,01,01
0000101065,1000,10,01,03,USD,1,02,02
0000101066,2000,10,00,01,USD,1,01,01
0000101067,2000,10,01,04,USD,1,01,02
0000101068,1000,10,02,03,USD,1,01,01
0000101069,2000,10,02,04,USD,1,01,02
0000101070,2000,20,00,02,USD,1,02,02
0000101071,1000,20,00,04,USD,1,02,02
0000101072,1000,10,01,03,USD,1,02,01
0000101072,2000,10,00,03,USD,1,01,01
0000101073,2000,30,01,02,USD,1,02,01
0000101074,1000,20,01,04,USD,1,01,02
0000101075,1000,10,00,03,USD,1,02,02
0000101076,2000,20,02,01,USD,1,02,02
0000101077,1000,10,00,01,USD,1,02,02
0000101078,2000,10,01,04,USD,1,01,02
0000101079,1000,20,02,01,USD,1,01,02
0000101080,3000,10,02,04,USD,1,02,02
0000101080,1000,20,02,01,USD,1,02,02
0000101080,2000,10,01,02,USD,1,01,02
0000101081,1000,10,01,01,USD,1,01,01
0000101082,1000,10,00,03,USD,1,01,01
0000101083,1000,10,01,04,USD,1,01,01
0000101083,3000,20,02,03,USD,1,02,02
0000101084,2000,10,02,04,USD,1,02,02
0000101085,1000,30,01,01,USD,1,02,01
0000101086,1000,30,00,01,USD,1,01,01
0000101087,1000,10,00,02,USD,1,01,01
0000101088,2000,10,00,04,USD,1,02,02
0000101088,1000,30,01,02,USD,1,02,02
0000101089,1000,20,00,04,USD,1,02,01
0000101090,2000,10,01,04,USD,1,01,02
0000101090,2000,10,00,02,USD,1,01,01
0000101090,2000,10,00,01,USD,1,01,01
0000101091,3000,10,01,04,USD,1,02,02
0000101092,2000,30,01,01,USD,1,02,01
0000101093,1000,20,02,02,USD,1,02,02
0000101094,3000,10,02,01,USD,1,01,02
0000101095,1000,20,02,03,USD,1,01,01
0000101096,1000,20,01,02,USD,1,01,01
0000101097,1000,10,00,01,USD,1,02,01
0000101098,1000,10,00,03,USD,1,01,02
0000101099,1000,10,00,03,USD,1,01,01
0000101100,3000,10,01,01,USD,1,01,01
0000101100,1000,30,00,03,USD,1,01,02
0000101101,2000,10,01,04,USD,1,02,01
0000101101,1000,20,02,04,USD,1,02,02
0000101101,1000,20,01,04,USD,1,02,01
0000101102,1000,30,00,04,USD,1,02,01
0000101103,2000,10,00,01,USD,1,01,01
0000101104,2000,30,02,01,USD,1,01,01
0000101104,2000,20,02,04,USD,1,01,02
0000101105,1000,20,02,04,USD,1,02,02
0000101106,1000,10,02,04,USD,1,02,02
0000101106,1000,20,00,02,USD,1,02,01
0000101107,1000,20,00,04,USD,1,02,01
0000101108,1000,10,00,01,USD,1,02,01
0000101108,1000,30,02,01,USD,1,01,02
0000101109,2000,10,01,01,USD,1,02,02
0000101110,1000,10,00,04,USD,1,01,02
0000101111,3000,10,00,03,USD,1,01,01
0000101112,1000,30,01,03,USD,1,02,01
0000101113,3000,10,01,03,USD,1,02,02
0000101113,2000,30,01,01,USD,1,01,01
0000101114,1000,10,00,02,USD,1,02,01
0000101115,2000,30,01,04,USD,1,01,01
0000101116,3000,10,01,01,USD,1,01,02
0000101117,3000,20,02,02,USD,1,02,02
0000101117,1000,10,00,01,USD,1,01,01
0000101118,1000,20,00,04,USD,1,02,02
0000101118,1000,10,01,01,USD,1,02,01
0000101119,2000,30,00,01,USD,1,01,02
0000101120,1000,20,02,01,USD,1,01,01
0000101121,1000,20,01,02,USD,1,01,02
0000101122,1000,10,00,03,USD,1,01,01
0000101123,3000,10,01,02,USD,1,01,01
0000101124,2000,10,00,03,USD,1,02,02
0000101125,1000,20,00,04,USD,1,02,02
0000101126,1000,20,00,03,USD,1,01,02
0000101127,1000,20,00,01,USD,1,01,01
0000101128,3000,30,02,03,USD,1,01,01
0000101129,2000,10,01,04,USD,1,02,02
0000101129,2000,10,00,04,USD,1,02,01
0000101130,3000,10,02,04,USD,1,01,01
0000101131,2000,30,00,03,USD,1,02,02
0000101132,1000,10,00,03,USD,1,01,01
0000101132,1000,20,01,03,USD,1,02,01
0000101132,1000,10,01,02,USD,1,02,01
0000101133,3000,10,00,02,USD,1,01,01
0000101134,1000,30,00,03,USD,1,01,02
0000101135,1000,20,01,02,USD,1,01,02
0000101136,1000,30,02,03,USD,1,01,01
0000101137,1000,10,00,04,USD,1,01,02
0000101138,3000,20,00,03,USD,1,02,01
0000101139,2000,10,00,02,USD,1,01,01
0000101139,1000,10,02,03,USD,1,01,02
0000101140,1000,30,00,02,USD,1,01,02
0000101141,1000,10,02,04,USD,1,01,01
0000101142,1000,30,00,01,USD,1,02,02
0000101143,3000,10,02,02,USD,1,02,01
0000101143,1000,10,01,04,USD,1,02,01
0000101143,2000,10,00,04,USD,1,01,01
0000101144,3000,20,00,01,USD,1,01,01
0000101145,2000,10,00,02,USD,1,01,01
0000101146,1000,30,00,01,USD,1,02,01
0000101147,1000,10,00,02,USD,1,02,02
0000101148,1000,10,00,02,USD,1,01,01
0000101148,1000,20,01,03,USD,1,01,02
0000101149,2000,30,01,03,USD,1,02,02
0000101150,3000,10,00,03,USD,1,02,02
0000101151,1000,20,01,04,USD,1,01,01
0000101151,1000,10,00,02,USD,1,02,02
0000101151,1000,10,02,02,USD,1,01,02
0000101152,2000,10,01,02,USD,1,01,01
0000101153,1000,10,02,03,USD,1,02,01
0000101153,3000,10,01,02,USD,1,01,01
0000101154,1000,10,02,03,USD,1,01,02
0000101155,1000,10,02,02,USD,1,02,01
0000101156,1000,10,01,04,USD,1,01,02
0000101156,1000,20,02,02,USD,1,01,01
0000101157,1000,10,02,03,USD,1,01,02
0000101158,1000,10,02,03,USD,1,01,02
0000101158,1000,10,01,02,USD,1,02,02
0000101159,2000,30,00,03,USD,1,02,01
0000101160,1000,20,01,01,USD,1,02,01
0000101161,1000,20,02,03,USD,1,01,01
0000101162,3000,10,01,03,USD,1,02,02
0000101162,1000,20,01,04,USD,1,01,01
0000101163,2000,30,00,01,USD,1,02,01
0000101163,2000,30,02,03,USD,1,02,02
0000101163,1000,10,02,03,USD,1,02,01
0000101164,2000,30,01,04,USD,1,02,02
0000101165,2000,10,01,01,USD,1,01,02
0000101165,1000,10,00,01,USD,1,02,02
0000101166,1000,10,02,03,USD,1,01,01
0000101166,1000,30,02,01,USD,1,01,01
0000101167,2000,30,02,02,USD,1,01,01
0000101168,3000,10,02,01,USD,1,02,02
0000101169,1000,20,01,02,USD,1,02,01
0000101170,1000,30,02,01,USD,1,01,01
0000101171,1000,10,00,02,USD,1,02,02
0000101172,1000,10,01,03,USD,1,01,01
0000101173,1000,10,00,03,USD,1,01,02
0000101174,1000,20,02,03,USD,1,02,01
0000101174,1000,20,02,03,USD,1,01,02
0000101174,1000,30,02,02,USD,1,02,02
0000101175,1000,20,02,01,USD,1,01,02
0000101175,1000,20,00,03,USD,1,02,01
0000101176,1000,20,00,02,USD,1,02,01
0000101176,1000,20,01,03,USD,1,01,01
0000101176,1000,10,00,01,USD,1,02,01
0000101177,2000,10,00,02,USD,1,01,01
0000101178,1000,10,00,03,USD,1,01,01
0000101179,1000,30,00,01,USD,1,01,01
0000101180,1000,30,00,02,USD,1,01,02
0000101180,1000,20,01,02,USD,1,02,01
0000101181,1000,20,02,03,USD,1,01,01
0000101182,1000,30,01,03,USD,1,01,01
0000101182,1000,30,02,01,USD,1,02,01
0000101182,3000,20,01,02,USD,1,01,02
0000101183,1000,30,01,03,USD,1,02,01
0000101183,1000,30,00,01,USD,1,01,01
0000101184,1000,30,00,01,USD,1,01,02
0000101185,2000,20,00,03,USD,1,02,01
0000101186,1000,10,01,04,USD,1,01,02
0000101186,1000,10,00,04,USD,1,02,01
0000101186,1000,20,02,01,USD,1,02,02
0000101187,1000,10,00,01,USD,1,02,02
0000101188,1000,10,01,01,USD,1,02,01
0000101188,1000,20,01,02,USD,1,01,02
0000101189,3000,10,00,02,USD,1,01,01
0000101190,1000,30,00,03,USD,1,01,01
0000101190,2000,30,01,04,USD,1,02,02
0000101190,3000,20,00,02,USD,1,02,01
0000101191,1000,10,00,01,USD,1,01,01
0000101192,1000,10,00,03,USD,1,01,01
0000101193,1000,10,01,03,USD,1,01,01
0000101193,3000,20,00,01,USD,1,02,02
0000101194,1000,20,02,04,USD,1,01,01
0000101195,2000,30,01,04,USD,1,02,01
0000101196,1000,10,01,01,USD,1,01,02
0000101197,1000,10,00,02,USD,1,01,02
0000101198,1000,20,02,02,USD,1,02,02
0000101198,2000,10,00,02,USD,1,02,01
0000101199,2000,20,00,04,USD,1,02,01
0000101200,1000,20,00,02,USD,1,02,01
0000101201,2000,20,01,03,USD,1,01,02
0000101201,1000,10,00,03,USD,1,01,02
0000101202,1000,30,02,03,USD,1,02,01
0000101203,1000,10,00,02,USD,1,02,02
0000101204,2000,10,00,02,USD,1,01,02
0000101205,1000,20,01,01,USD,1,01,01
0000101206,1000,10,00,03,USD,1,01,01
0000101206,2000,30,01,03,USD,1,01,01
0000101207,2000,10,00,03,USD,1,02,02
0000101208,1000,10,00,01,USD,1,01,02
0000101209,2000,10,00,02,USD,1,02,02
0000101210,2000,10,00,03,USD,1,01,01
0000101210,1000,20,00,02,USD,1,01,01
0000101211,3000,10,02,01,USD,1,01,02
0000101212,1000,20,02,01,USD,1,02,01
0000101213,2000,10,00,04,USD,1,01,02
0000101214,1000,20,00,01,USD,1,01,02
0000101215,1000,10,01,02,USD,1,02,01
0000101215,1000,10,00,03,USD,1,01,02
0000101216,2000,10,00,01,USD,1,01,01
0000101217,1000,30,00,03,USD,1,02,01
0000101218,2000,20,01,03,USD,1,01,01
0000101219,1000,10,00,04,USD,1,01,02
0000101220,1000,20,01,01,USD,1,01,01
0000101221,3000,10,00,02,USD,1,01,01
0000101222,1000,20,01,01,USD,1,01,01
0000101223,1000,10,01,02,USD,1,01,01
0000101223,1000,30,00,03,USD,1,01,01
0000101224,1000,20,01,01,USD,1,02,01
0000101224,1000,10,01,01,USD,1,01,01
0000101225,2000,20,01,02,USD,1,01,01
0000101225,2000,30,02,02,USD,1,01,01
0000101226,1000,10,00,02,USD,1,01,01
0000101227,1000,20,00,01,USD,1,01,01
0000101228,1000,30,00,04,USD,1,02,02
0000101229,3000,20,00,02,USD,1,01,01
0000101230,1000,10,00,02,USD,1,02,01
0000101230,1000,10,01,02,USD,1,02,02
0000101231,1000,20,01,04,USD,1,01,02
0000101232,1000,10,02,03,USD,1,01,01
0000101233,2000,30,00,04,USD,1,02,02
0000101233,1000,10,02,04,USD,1,02,01
0000101234,1000,20,00,04,USD,1,01,02
0000101234,2000,10,01,01,USD,1,01,02
0000101235,2000,10,00,02,USD,1,02,01
0000101236,2000,20,00,04,USD,1,02,01
0000101237,2000,10,00,03,USD,1,01,01
0000101238,1000,10,01,02,USD,1,01,02
0000101239,1000,10,02,01,USD,1,02,01
0000101239,1000,10,00,03,USD,1,01,02
0000101240,2000,10,01,03,USD,1,01,01
0000101240,1000,10,02,01,USD,1,01,01
0000101240,1000,10,02,01,USD,1,02,02
0000101241,2000,10,01,02,USD,1,02,01
0000101242,1000,10,01,02,USD,1,02,01
0000101243,2000,10,00,01,USD,1,02,02
0000101244,1000,20,02,03,USD,1,01,01
0000101245,1000,10,01,02,USD,1,01,02
0000101245,1000,30,01,03,USD,1,01,01
0000101245,2000,20,01,02,USD,1,02,01
0000101246,1000,20,00,04,USD,1,02,01
0000101246,1000,20,02,02,USD,1,02,02
0000101246,1000,10,02,03,USD,1,02,01
0000101247,1000,10,00,04,USD,1,01,01
0000101247,2000,10,00,01,USD,1,02,01
0000101247,1000,10,01,03,USD,1,02,01
0000101248,1000,30,00,02,USD,1,01,01
0000101248,2000,10,00,02,USD,1,02,01
0000101249,2000,10,02,02,USD,1,02,02
0000101249,1000,10,00,01,USD,1,01,02
0000101250,1000,20,02,03,USD,1,02,01
0000101250,1000,20,00,03,USD,1,02,02
0000101251,1000,20,02,01,USD,1,01,02
0000101251,1000,20,00,03,USD,1,01,01
0000101252,1000,20,00,01,USD,1,01,01
0000101252,1000,20,02,04,USD,1,01,02
0000101253,1000,30,02,04,USD,1,01,02
0000101254,1000,30,00,03,USD,1,02,02
0000101255,2000,10,00,04,USD,1,01,02
0000101255,3000,10,01,03,USD,1,02,02
0000101256,1000,30,01,04,USD,1,02,02
0000101257,2000,10,01,03,USD,1,02,02
0000101258,2000,10,00,02,USD,1,01,01
0000101259,2000,10,02,02,USD,1,02,01
0000101260,2000,10,00,04,USD,1,01,02
0000101261,2000,10,00,03,USD,1,02,01
0000101262,1000,30,01,01,USD,1,02,02
0000101263,3000,20,00,01,USD,1,02,01
0000101264,3000,10,00,04,USD,1,02,02
0000101265,2000,20,02,02,USD,1,02,02
0000101266,1000,20,01,03,USD,1,02,01
0000101267,1000,10,00,01,USD,1,01,02
0000101268,2000,20,01,01,USD,1,02,01
0000101269,1000,10,00,03,USD,1,02,02
0000101269,1000,30,00,03,USD,1,02,01
0000101270,1000,20,00,04,USD,1,02,01
0000101271,1000,20,00,04,USD,1,02,01
0000101272,2000,20,00,04,USD,1,01,02
0000101273,1000,10,00,02,USD,1,01,02
0000101274,1000,20,00,01,USD,1,01,01
0000101274,1000,30,00,01,USD,1,02,01
0000101275,1000,10,00,01,USD,1,01,02
0000101276,3000,20,01,01,USD,1,01,02
0000101276,1000,20,02,02,USD,1,02,02
0000101276,1000,10,00,04,USD,1,01,01
0000101277,2000,20,01,01,USD,1,02,02
0000101277,1000,20,00,01,USD,1,01,01
0000101278,1000,20,00,02,USD,1,01,01
0000101278,1000,10,02,04,USD,1,02,01
0000101279,1000,10,02,04,USD,1,01,01
0000101279,2000,20,00,03,USD,1,02,01
0000101280,1000,20,00,01,USD,1,02,01
0000101280,1000,20,00,02,USD,1,01,01
0000101281,2000,30,01,04,USD,1,01,01
0000101282,1000,10,00,03,USD,1,01,02
0000101282,1000,20,01,03,USD,1,02,02
0000101282,1000,10,00,01,USD,1,02,02
0000101283,1000,10,00,01,USD,1,01,02
0000101284,3000,30,00,03,USD,1,01,02
0000101285,2000,30,02,04,USD,1,01,02
0000101285,2000,30,01,03,USD,1,01,01
0000101286,2000,10,01,03,USD,1,01,01
0000101287,1000,10,02,04,USD,1,02,02
0000101288,1000,10,02,03,USD,1,01,02
0000101289,1000,30,00,02,USD,1,01,01
0000101290,1000,20,00,03,USD,1,02,02
0000101291,2000,30,02,02,USD,1,01,02
0000101292,1000,10,00,02,USD,1,02,02
0000101293,1000,20,01,04,USD,1,02,01
0000101293,1000,10,01,01,USD,1,02,02
0000101294,3000,10,01,04,USD,1,02,02
0000101295,2000,20,00,04,USD,1,02,01
0000101296,2000,10,00,01,USD,1,01,02
0000101297,1000,30,00,03,USD,1,01,02
0000101298,1000,30,01,02,USD,1,01,02
0000101298,3000,20,00,04,USD,1,02,02
0000101298,2000,10,01,01,USD,1,01,01
0000101299,2000,10,02,03,USD,1,01,02
0000101300,2000,10,01,02,USD,1,02,01
0000101300,1000,10,01,04,USD,1,02,02
0000101300,3000,30,01,03,USD,1,02,01
0000101301,3000,30,00,01,USD,1,01,02
0000101301,1000,20,00,03,USD,1,02,02
0000101302,3000,10,02,02,USD,1,02,02
0000101303,1000,30,01,01,USD,1,01,02
0000101304,1000,30,00,04,USD,1,01,02
0000101304,1000,20,02,03,USD,1,01,02
0000101305,1000,20,01,03,USD,1,02,01
0000101306,2000,30,02,02,USD,1,02,02
0000101307,2000,10,01,01,USD,1,02,01
0000101308,1000,10,02,04,USD,1,01,01
0000101309,1000,10,01,04,USD,1,01,01
0000101310,1000,10,02,03,USD,1,01,01
0000101311,2000,10,01,02,USD,1,02,01
0000101312,1000,20,02,03,USD,1,02,01
0000101312,2000,10,01,03,USD,1,02,01
0000101313,2000,10,00,01,USD,1,01,02
0000101314,2000,10,00,02,USD,1,02,01
0000101314,1000,10,00,01,USD,1,02,02
0000101315,2000,20,00,03,USD,1,02,01
0000101316,1000,20,01,04,USD,1,02,01
0000101316,1000,10,00,03,USD,1,02,01
0000101316,3000,20,00,01,USD,1,02,01
0000101317,1000,10,00,02,USD,1,01,02
0000101318,1000,30,00,04,USD,1,02,02
0000101319,2000,20,00,03,USD,1,01,02
0000101320,1000,10,01,02,USD,1,02,02
0000101320,1000,30,00,03,USD,1,02,02
0000101321,2000,30,00,02,USD,1,01,01
0000101322,1000,20,00,02,USD,1,02,02
0000101323,1000,10,02,02,USD,1,01,02
0000101323,1000,20,01,02,USD,1,01,02
0000101323,1000,10,02,03,USD,1,02,01
0000101324,1000,30,01,04,USD,1,01,01
0000101325,3000,20,02,01,USD,1,02,01
0000101326,2000,30,00,02,USD,1,01,01
0000101327,2000,20,00,03,USD,1,01,02
0000101327,2000,20,01,03,USD,1,01,01
0000101327,1000,10,00,04,USD,1,01,02
0000101328,2000,20,00,04,USD,1,01,02
0000101329,3000,20,00,02,USD,1,02,02
0000101329,2000,30,00,01,USD,1,01,02
0000101329,1000,20,01,02,USD,1,02,02
0000101330,1000,30,01,01,USD,1,01,02
0000101331,2000,10,02,04,USD,1,01,01
0000101332,2000,30,01,01,USD,1,02,01
0000101332,2000,30,00,01,USD,1,01,01
0000101333,1000,30,00,04,USD,1,02,01
0000101334,1000,20,02,04,USD,1,01,01
0000101334,1000,30,00,04,USD,1,02,01
0000101335,2000,30,02,02,USD,1,02,02
0000101335,2000,20,01,01,USD,1,01,02
0000101336,1000,10,00,02,USD,1,01,01
0000101337,1000,10,00,02,USD,1,02,02
0000101338,1000,30,00,04,USD,1,01,02
0000101339,1000,30,02,02,USD,1,01,01
0000101339,1000,10,00,04,USD,1,01,01
0000101340,1000,20,00,03,USD,1,01,02
0000101340,1000,10,00,04,USD,1,02,01
0000101341,1000,10,01,04,USD,1,02,02
0000101342,1000,10,00,04,USD,1,01,01
0000101342,1000,20,02,01,USD,1,02,02
0000101343,1000,10,00,02,USD,1,02,02
0000101344,1000,30,01,01,USD,1,02,02
0000101345,1000,20,01,02,USD,1,01,01
0000101346,1000,20,00,04,USD,1,01,01
0000101346,1000,20,00,02,USD,1,01,02
0000101346,1000,20,01,03,USD,1,02,02
0000101347,1000,10,02,04,USD,1,02,02
0000101348,1000,10,00,02,USD,1,01,01
0000101348,2000,10,00,04,USD,1,01,01
0000101349,1000,10,01,04,USD,1,01,01
0000101350,1000,20,00,03,USD,1,02,01
0000101350,1000,20,00,04,USD,1,01,01
0000101351,1000,20,01,04,USD,1,01,02
0000101352,1000,30,01,01,USD,1,01,01
0000101353,2000,10,01,03,USD,1,01,01
0000101354,2000,10,01,04,USD,1,02,02
0000101355,1000,10,00,02,USD,1,02,01
0000101356,1000,10,01,04,USD,1,01,02
0000101357,1000,20,02,03,USD,1,01,02
0000101357,2000,20,02,02,USD,1,01,01
0000101358,2000,20,01,03,USD,1,02,01
0000101358,3000,10,02,04,USD,1,02,02
0000101359,3000,30,02,03,USD,1,01,01
0000101360,2000,30,01,03,USD,1,01,01
0000101361,2000,30,01,02,USD,1,01,02
0000101361,1000,10,00,02,USD,1,01,02
0000101362,2000,20,00,02,USD,1,02,02
0000101363,1000,20,00,01,USD,1,01,01
0000101364,1000,10,01,01,USD,1,01,02
0000101365,2000,30,01,04,USD,1,01,02
0000101366,1000,10,00,03,USD,1,01,02
0000101367,3000,10,00,03,USD,1,01,02
0000101368,3000,20,00,01,USD,1,02,02
0000101368,1000,30,01,01,USD,1,02,01
0000101369,1000,30,01,03,USD,1,01,02
0000101370,1000,10,01,04,USD,1,01,02
0000101370,1000,10,00,04,USD,1,02,01
0000101371,1000,20,01,04,USD,1,01,01
0000101372,1000,10,02,02,USD,1,02,01
0000101373,2000,20,00,04,USD,1,01,02
0000101373,1000,20,00,04,USD,1,02,02
0000101373,1000,20,00,03,USD,1,02,01
0000101374,1000,20,01,04,USD,1,01,02
0000101374,1000,10,01,04,USD,1,02,02
0000101374,3000,20,00,02,USD,1,01,02
0000101375,1000,10,02,02,USD,1,01,02
0000101376,1000,10,00,04,USD,1,02,01
0000101377,3000,20,01,01,USD,1,01,02
0000101377,1000,30,00,01,USD,1,01,01
0000101377,1000,30,00,03,USD,1,02,02
0000101378,1000,20,00,02,USD,1,01,02
0000101378,1000,30,01,04,USD,1,02,01
0000101379,2000,30,00,03,USD,1,02,01
0000101379,2000,10,00,01,USD,1,01,01
0000101380,1000,10,00,03,USD,1,01,02
0000101381,2000,30,02,01,USD,1,01,02
0000101382,1000,30,00,04,USD,1,02,01
0000101382,3000,20,01,03,USD,1,02,02
0000101383,3000,10,02,03,USD,1,02,02
